doc_id,age_months,age_group,n_tokens,t_star,t_star_frac,I_512_star,baseline_512,top_share_512,n_eff_512,gini_512,n_positive_512,n_windows_512,ppl_full_512,top_share_256,n_eff_256,n_windows_256
ECSC_4051_1_120M_4051_YR1,120,10+yr,765,688,0.8993464052287582,9.968851657946672,14.781520597961995,0.16968413407944938,22.168122326265216,0.4197860956753121,31,31,7.802924689274712,0.32272520558193635,8.948619787114483,15
ECSC_4040_1_122F_4040_YR1,122,10+yr,660,576,0.8727272727272727,13.953881885841906,9.11842728459941,0.5979952370211935,2.6874397058248287,0.9312114397920911,6,31,15.306945016577142,0.5200519616160401,1.9983918907963318,15
ECSC_4041_1_122F_4041_YR1,122,10+yr,593,518,0.8735244519392917,32.753082755830555,18.686561899814357,0.9686699999159587,1.174741418007936,0.9647254471887421,3,31,43.25326097086721,0.28109878783320913,6.960175620146917,15
ECSC_4053_1_129M_4053_YR1,129,10+yr,579,521,0.8998272884283247,16.828339892475594,16.50303696203664,0.31158362868880224,16.32659130400689,0.5370767008768877,31,31,15.351037733189859,0.49270497114168615,6.917279318102942,15
ECSC_4046_1_132F_4046_YR1,132,10+yr,655,536,0.8183206106870229,23.66416630378619,14.345040712074578,0.36574014934875776,10.064790073967961,0.7210137958350097,28,31,25.128465146059952,0.48727534970710273,4.740285774921266,15
ECSC_2025_1_135M_2025_YR1,135,10+yr,850,738,0.8682352941176471,46.3512634715287,24.566608129325086,0.0974691360420836,25.382055834187852,0.34397433134708044,31,31,21.204912283781645,0.23330146949004024,11.204923125056725,15
ECSC_4028_1_136F_4028_YR1,136,10+yr,734,660,0.8991825613079019,7.018806220336659,5.0489920802093735,0.14983942109753895,17.364391348510715,0.568516207775782,26,31,8.908663576173156,0.49409212363918026,6.689650526997898,15
ECSC_2019_1_68F_2019_YR1,68,4-6yr,686,617,0.8994169096209913,15.641899312052058,8.158111808047105,0.18450694161263193,10.967844477129503,0.730579907878104,17,31,20.623898484106338,0.3170656197463777,7.845567197871277,15
ECSC_2015_1_69F_2015_YR1,69,4-6yr,614,520,0.8469055374592834,18.32521615927709,9.893508616219403,0.28742185640770135,9.281318403372921,0.7654800205624622,17,31,15.588371225868139,0.2567413650062743,10.58770259194268,15
ECSC_1047_3_71F_1047_YR3,71,4-6yr,600,525,0.875,5.167641659990694,4.308468756859229,0.16641920997177959,23.454642373181095,0.38016197601764273,31,31,6.096383528214047,0.27903861818085246,11.362135748732674,15
ECSC_1083_3_71M_1083_YR3,71,4-6yr,612,534,0.8725490196078431,7.369242238997124,9.343878451111475,0.22605924165829458,11.517363179583024,0.7134802495649004,21,31,10.318356707414985,0.31524132275162203,6.064528651395306,15
ECSC_2007_2_72M_2007_YR2,72,6-8yr,730,657,0.9,1.4354327573504087,4.46512183864946,0.14726477309914476,20.643856315230725,0.46320481633220717,28,31,8.797226666747227,0.424225202380776,5.101311918724824,15
ECSC_1092_2_74F_1092_YR2,74,6-8yr,676,552,0.8165680473372781,4.796837495556664,7.667877803629776,0.22232734776469473,10.189146192376404,0.7434283021834336,14,31,10.85701060584445,0.2737355055881277,6.854784598344064,15
ECSC_1042_2_75F_1042_YR2,75,6-8yr,591,531,0.8984771573604061,21.85104391504284,12.884524430563562,0.18642619155611756,16.76575800786372,0.5734985224377365,24,31,15.537615344223983,0.32542300665640655,6.448986571884028,15
ECSC_4003_1_75M_4003_YR1,75,6-8yr,766,689,0.8994778067885117,11.296989717440834,17.49418598348126,0.21160011636103018,23.148008877792996,0.33602866137008125,31,31,16.37961744025785,0.2104817854492536,12.053875478437277,15
