target_idx,target_pos,target_pos_frac,I_512,I_256,doc_id,age_months,age_group
0,256,0.33464052287581697,,17.896036452899033,ECSC_4051_1_120M_4051_YR1,120,10+yr
1,278,0.3633986928104575,,5.23274988784184,ECSC_4051_1_120M_4051_YR1,120,10+yr
2,301,0.3934640522875817,,3.1875720317688687,ECSC_4051_1_120M_4051_YR1,120,10+yr
3,324,0.4235294117647059,,3.775222337737554,ECSC_4051_1_120M_4051_YR1,120,10+yr
4,346,0.4522875816993464,,25.629482294595093,ECSC_4051_1_120M_4051_YR1,120,10+yr
5,369,0.4823529411764706,,17.55713462656243,ECSC_4051_1_120M_4051_YR1,120,10+yr
6,392,0.5124183006535947,,5.277496661529854,ECSC_4051_1_120M_4051_YR1,120,10+yr
7,415,0.5424836601307189,,14.115421082873478,ECSC_4051_1_120M_4051_YR1,120,10+yr
8,437,0.5712418300653594,,4.279615657680715,ECSC_4051_1_120M_4051_YR1,120,10+yr
9,460,0.6013071895424836,,21.59886127411064,ECSC_4051_1_120M_4051_YR1,120,10+yr
10,483,0.6313725490196078,,11.491294734956357,ECSC_4051_1_120M_4051_YR1,120,10+yr
11,506,0.661437908496732,,10.646450586930174,ECSC_4051_1_120M_4051_YR1,120,10+yr
12,528,0.6901960784313725,,13.08001104135207,ECSC_4051_1_120M_4051_YR1,120,10+yr
13,551,0.7202614379084967,,13.59079813481348,ECSC_4051_1_120M_4051_YR1,120,10+yr
14,574,0.7503267973856209,,14.961032146632569,ECSC_4051_1_120M_4051_YR1,120,10+yr
15,597,0.7803921568627451,,8.990685286256376,ECSC_4051_1_120M_4051_YR1,120,10+yr
16,619,0.8091503267973856,,3.849787516294395,ECSC_4051_1_120M_4051_YR1,120,10+yr
17,642,0.8392156862745098,,14.652793971824416,ECSC_4051_1_120M_4051_YR1,120,10+yr
18,665,0.869281045751634,,5.962904133480103,ECSC_4051_1_120M_4051_YR1,120,10+yr
19,688,0.8993464052287582,9.968851657946672,9.655805535847326,ECSC_4051_1_120M_4051_YR1,120,10+yr
0,256,0.3878787878787879,,9.47168815450575,ECSC_4040_1_122F_4040_YR1,122,10+yr
1,273,0.41363636363636364,,2.606759791565656,ECSC_4040_1_122F_4040_YR1,122,10+yr
2,291,0.4409090909090909,,2.977384325936537,ECSC_4040_1_122F_4040_YR1,122,10+yr
3,309,0.4681818181818182,,3.607788573680798,ECSC_4040_1_122F_4040_YR1,122,10+yr
4,327,0.4954545454545455,,3.904281227540336,ECSC_4040_1_122F_4040_YR1,122,10+yr
5,344,0.5212121212121212,,0.508891621700462,ECSC_4040_1_122F_4040_YR1,122,10+yr
6,362,0.5484848484848485,,2.8308759669748884,ECSC_4040_1_122F_4040_YR1,122,10+yr
7,380,0.5757575757575758,,2.3483345249395615,ECSC_4040_1_122F_4040_YR1,122,10+yr
8,398,0.603030303030303,,6.032146933619668,ECSC_4040_1_122F_4040_YR1,122,10+yr
9,416,0.6303030303030303,,8.24111233229307,ECSC_4040_1_122F_4040_YR1,122,10+yr
10,433,0.656060606060606,,3.058402734792864,ECSC_4040_1_122F_4040_YR1,122,10+yr
11,451,0.6833333333333333,,1.3966326265486924,ECSC_4040_1_122F_4040_YR1,122,10+yr
12,469,0.7106060606060606,,3.440963399457395,ECSC_4040_1_122F_4040_YR1,122,10+yr
13,487,0.7378787878787879,,19.127215588745216,ECSC_4040_1_122F_4040_YR1,122,10+yr
14,505,0.7651515151515151,,16.201778723716465,ECSC_4040_1_122F_4040_YR1,122,10+yr
15,522,0.7909090909090909,,1.981405350355299,ECSC_4040_1_122F_4040_YR1,122,10+yr
16,540,0.8181818181818182,,1.34276959647819,ECSC_4040_1_122F_4040_YR1,122,10+yr
17,558,0.8454545454545455,,1.5726774113670121,ECSC_4040_1_122F_4040_YR1,122,10+yr
18,576,0.8727272727272727,13.953881885841906,12.512520110853075,ECSC_4040_1_122F_4040_YR1,122,10+yr
19,594,0.9,9.244981552585646,7.620082699456608,ECSC_4040_1_122F_4040_YR1,122,10+yr
0,256,0.4317032040472175,,7.631891097478787,ECSC_4041_1_122F_4041_YR1,122,10+yr
1,270,0.45531197301854975,,3.2274702341464803,ECSC_4041_1_122F_4041_YR1,122,10+yr
2,285,0.4806070826306914,,0.5880288368926063,ECSC_4041_1_122F_4041_YR1,122,10+yr
3,299,0.5042158516020236,,6.13085648447357,ECSC_4041_1_122F_4041_YR1,122,10+yr
4,314,0.5295109612141653,,9.728865499643346,ECSC_4041_1_122F_4041_YR1,122,10+yr
5,328,0.5531197301854974,,15.736473198132826,ECSC_4041_1_122F_4041_YR1,122,10+yr
6,343,0.5784148397976391,,5.103307655405702,ECSC_4041_1_122F_4041_YR1,122,10+yr
7,358,0.6037099494097807,,3.2880670121061257,ECSC_4041_1_122F_4041_YR1,122,10+yr
8,372,0.627318718381113,,7.003271649943941,ECSC_4041_1_122F_4041_YR1,122,10+yr
9,387,0.6526138279932546,,4.0828094260164995,ECSC_4041_1_122F_4041_YR1,122,10+yr
10,401,0.6762225969645869,,5.673390989907103,ECSC_4041_1_122F_4041_YR1,122,10+yr
11,416,0.7015177065767285,,4.241321898269148,ECSC_4041_1_122F_4041_YR1,122,10+yr
12,430,0.7251264755480608,,13.00005155657199,ECSC_4041_1_122F_4041_YR1,122,10+yr
13,445,0.7504215851602024,,30.718390852453393,ECSC_4041_1_122F_4041_YR1,122,10+yr
14,460,0.7757166947723441,,19.252466337351336,ECSC_4041_1_122F_4041_YR1,122,10+yr
15,474,0.7993254637436762,,2.6582185543519774,ECSC_4041_1_122F_4041_YR1,122,10+yr
16,489,0.8246205733558178,,9.062235146770929,ECSC_4041_1_122F_4041_YR1,122,10+yr
17,503,0.8482293423271501,,11.876077462337076,ECSC_4041_1_122F_4041_YR1,122,10+yr
18,518,0.8735244519392917,32.753082755830555,32.17137401162688,ECSC_4041_1_122F_4041_YR1,122,10+yr
19,533,0.8988195615514334,6.213342996657143,5.2929238591433005,ECSC_4041_1_122F_4041_YR1,122,10+yr
0,256,0.4794007490636704,,8.27129291967046,ECSC_4061_1_122M_4061_YR1,122,10+yr
1,267,0.5,,8.309529274720834,ECSC_4061_1_122M_4061_YR1,122,10+yr
2,279,0.5224719101123596,,1.6971916169543917,ECSC_4061_1_122M_4061_YR1,122,10+yr
3,291,0.5449438202247191,,2.567404318496573,ECSC_4061_1_122M_4061_YR1,122,10+yr
4,303,0.5674157303370787,,4.428305983819968,ECSC_4061_1_122M_4061_YR1,122,10+yr
5,314,0.5880149812734082,,2.5883489246566977,ECSC_4061_1_122M_4061_YR1,122,10+yr
6,326,0.6104868913857678,,16.747166181744713,ECSC_4061_1_122M_4061_YR1,122,10+yr
7,338,0.6329588014981273,,27.414788335132478,ECSC_4061_1_122M_4061_YR1,122,10+yr
8,350,0.6554307116104869,,18.85661904554435,ECSC_4061_1_122M_4061_YR1,122,10+yr
9,362,0.6779026217228464,,8.606186712417648,ECSC_4061_1_122M_4061_YR1,122,10+yr
10,373,0.6985018726591761,,1.1327457184933927,ECSC_4061_1_122M_4061_YR1,122,10+yr
11,385,0.7209737827715356,,4.729667405798102,ECSC_4061_1_122M_4061_YR1,122,10+yr
12,397,0.7434456928838952,,6.474834007839736,ECSC_4061_1_122M_4061_YR1,122,10+yr
13,409,0.7659176029962547,,3.6296058162856424,ECSC_4061_1_122M_4061_YR1,122,10+yr
14,421,0.7883895131086143,,4.428518285051119,ECSC_4061_1_122M_4061_YR1,122,10+yr
15,432,0.8089887640449438,,0.9806576322545535,ECSC_4061_1_122M_4061_YR1,122,10+yr
16,444,0.8314606741573034,,1.2253879034730701,ECSC_4061_1_122M_4061_YR1,122,10+yr
17,456,0.8539325842696629,,2.671151997656003,ECSC_4061_1_122M_4061_YR1,122,10+yr
18,468,0.8764044943820225,,1.427983884168837,ECSC_4061_1_122M_4061_YR1,122,10+yr
19,480,0.898876404494382,,2.043916827667749,ECSC_4061_1_122M_4061_YR1,122,10+yr
0,256,0.8178913738019169,,6.671479167464554,ECSC_4077_1_123F_4077_YR1,123,10+yr
1,256,0.8178913738019169,,6.671479167464554,ECSC_4077_1_123F_4077_YR1,123,10+yr
2,257,0.8210862619808307,,7.491372714174686,ECSC_4077_1_123F_4077_YR1,123,10+yr
3,258,0.8242811501597445,,7.992794974052842,ECSC_4077_1_123F_4077_YR1,123,10+yr
4,259,0.8274760383386581,,8.258357602198897,ECSC_4077_1_123F_4077_YR1,123,10+yr
5,260,0.8306709265175719,,8.275241535287616,ECSC_4077_1_123F_4077_YR1,123,10+yr
6,261,0.8338658146964856,,7.316111240892724,ECSC_4077_1_123F_4077_YR1,123,10+yr
7,262,0.8370607028753994,,7.0836140407525985,ECSC_4077_1_123F_4077_YR1,123,10+yr
8,263,0.8402555910543131,,7.291043235016316,ECSC_4077_1_123F_4077_YR1,123,10+yr
9,264,0.8434504792332268,,6.884115838223602,ECSC_4077_1_123F_4077_YR1,123,10+yr
10,264,0.8434504792332268,,6.884115838223602,ECSC_4077_1_123F_4077_YR1,123,10+yr
11,265,0.8466453674121406,,6.8977056603257125,ECSC_4077_1_123F_4077_YR1,123,10+yr
12,266,0.8498402555910544,,6.672407314592991,ECSC_4077_1_123F_4077_YR1,123,10+yr
13,267,0.853035143769968,,6.52185975480335,ECSC_4077_1_123F_4077_YR1,123,10+yr
14,268,0.8562300319488818,,5.922625308505392,ECSC_4077_1_123F_4077_YR1,123,10+yr
15,269,0.8594249201277955,,7.249441611794097,ECSC_4077_1_123F_4077_YR1,123,10+yr
16,270,0.8626198083067093,,6.9579932304817955,ECSC_4077_1_123F_4077_YR1,123,10+yr
17,271,0.865814696485623,,6.718479062236717,ECSC_4077_1_123F_4077_YR1,123,10+yr
18,272,0.8690095846645367,,5.969776581178785,ECSC_4077_1_123F_4077_YR1,123,10+yr
19,273,0.8722044728434505,,4.908963852447227,ECSC_4077_1_123F_4077_YR1,123,10+yr
0,256,0.6918918918918919,,15.080443261784545,ECSC_4052_1_124M_4052_YR1,124,10+yr
1,259,0.7,,15.402530622981818,ECSC_4052_1_124M_4052_YR1,124,10+yr
2,263,0.7108108108108108,,24.36565735263352,ECSC_4052_1_124M_4052_YR1,124,10+yr
3,267,0.7216216216216216,,20.017976655860235,ECSC_4052_1_124M_4052_YR1,124,10+yr
4,271,0.7324324324324324,,29.32108014164307,ECSC_4052_1_124M_4052_YR1,124,10+yr
5,275,0.7432432432432432,,37.468792025419546,ECSC_4052_1_124M_4052_YR1,124,10+yr
6,279,0.754054054054054,,49.51027106790597,ECSC_4052_1_124M_4052_YR1,124,10+yr
7,283,0.7648648648648648,,49.466169620883,ECSC_4052_1_124M_4052_YR1,124,10+yr
8,287,0.7756756756756756,,25.32690797582167,ECSC_4052_1_124M_4052_YR1,124,10+yr
9,291,0.7864864864864864,,14.205198353602952,ECSC_4052_1_124M_4052_YR1,124,10+yr
10,294,0.7945945945945946,,16.491534032567603,ECSC_4052_1_124M_4052_YR1,124,10+yr
11,298,0.8054054054054054,,15.95874798109395,ECSC_4052_1_124M_4052_YR1,124,10+yr
12,302,0.8162162162162162,,9.86399829592255,ECSC_4052_1_124M_4052_YR1,124,10+yr
13,306,0.827027027027027,,7.943382443268245,ECSC_4052_1_124M_4052_YR1,124,10+yr
14,310,0.8378378378378378,,7.579903864137023,ECSC_4052_1_124M_4052_YR1,124,10+yr
15,314,0.8486486486486486,,5.8255369553280545,ECSC_4052_1_124M_4052_YR1,124,10+yr
16,318,0.8594594594594595,,7.276784514757082,ECSC_4052_1_124M_4052_YR1,124,10+yr
17,322,0.8702702702702703,,10.71945746363697,ECSC_4052_1_124M_4052_YR1,124,10+yr
18,326,0.8810810810810811,,8.318382896949,ECSC_4052_1_124M_4052_YR1,124,10+yr
19,330,0.8918918918918919,,5.518815879692188,ECSC_4052_1_124M_4052_YR1,124,10+yr
0,256,0.6464646464646465,,1.0314534641577868,ECSC_4065_1_125F_4065_YR1,125,10+yr
1,261,0.6590909090909091,,0.16577109309017146,ECSC_4065_1_125F_4065_YR1,125,10+yr
2,266,0.6717171717171717,,0.22445604867635272,ECSC_4065_1_125F_4065_YR1,125,10+yr
3,271,0.6843434343434344,,0.10135071049160604,ECSC_4065_1_125F_4065_YR1,125,10+yr
4,277,0.6994949494949495,,0.5790140002053414,ECSC_4065_1_125F_4065_YR1,125,10+yr
5,282,0.7121212121212122,,0.7246837991417667,ECSC_4065_1_125F_4065_YR1,125,10+yr
6,287,0.7247474747474747,,1.6824244319978536,ECSC_4065_1_125F_4065_YR1,125,10+yr
7,292,0.7373737373737373,,2.367568874854639,ECSC_4065_1_125F_4065_YR1,125,10+yr
8,298,0.7525252525252525,,3.7697834420737433,ECSC_4065_1_125F_4065_YR1,125,10+yr
9,303,0.7651515151515151,,2.4620094523878295,ECSC_4065_1_125F_4065_YR1,125,10+yr
10,308,0.7777777777777778,,2.7430401479856803,ECSC_4065_1_125F_4065_YR1,125,10+yr
11,313,0.7904040404040404,,2.278337918599151,ECSC_4065_1_125F_4065_YR1,125,10+yr
12,319,0.8055555555555556,,0.8915791916013385,ECSC_4065_1_125F_4065_YR1,125,10+yr
13,324,0.8181818181818182,,1.2380205312050734,ECSC_4065_1_125F_4065_YR1,125,10+yr
14,329,0.8308080808080808,,1.131674108014959,ECSC_4065_1_125F_4065_YR1,125,10+yr
15,334,0.8434343434343434,,1.2867341559564052,ECSC_4065_1_125F_4065_YR1,125,10+yr
16,340,0.8585858585858586,,2.2778539003253933,ECSC_4065_1_125F_4065_YR1,125,10+yr
17,345,0.8712121212121212,,4.228453772888362,ECSC_4065_1_125F_4065_YR1,125,10+yr
18,350,0.8838383838383839,,3.6491428872876233,ECSC_4065_1_125F_4065_YR1,125,10+yr
19,356,0.898989898989899,,3.5859595106019064,ECSC_4065_1_125F_4065_YR1,125,10+yr
0,256,0.5300207039337475,,2.4950310999138354,ECSC_4043_1_126F_4043_YR1,126,10+yr
1,265,0.5486542443064182,,3.5930440062743765,ECSC_4043_1_126F_4043_YR1,126,10+yr
2,274,0.567287784679089,,3.193173161390672,ECSC_4043_1_126F_4043_YR1,126,10+yr
3,284,0.587991718426501,,2.1214608242005397,ECSC_4043_1_126F_4043_YR1,126,10+yr
4,293,0.6066252587991718,,1.7243626965368382,ECSC_4043_1_126F_4043_YR1,126,10+yr
5,302,0.6252587991718427,,2.666649185519039,ECSC_4043_1_126F_4043_YR1,126,10+yr
6,312,0.6459627329192547,,1.6405144912645753,ECSC_4043_1_126F_4043_YR1,126,10+yr
7,321,0.6645962732919255,,2.999129446569521,ECSC_4043_1_126F_4043_YR1,126,10+yr
8,330,0.6832298136645962,,3.3412004020379102,ECSC_4043_1_126F_4043_YR1,126,10+yr
9,340,0.7039337474120083,,0.09345373708717553,ECSC_4043_1_126F_4043_YR1,126,10+yr
10,349,0.722567287784679,,1.0693758355791072,ECSC_4043_1_126F_4043_YR1,126,10+yr
11,359,0.7432712215320911,,2.3941168097296046,ECSC_4043_1_126F_4043_YR1,126,10+yr
12,368,0.7619047619047619,,0.5026915873585285,ECSC_4043_1_126F_4043_YR1,126,10+yr
13,377,0.7805383022774327,,1.8584934601188134,ECSC_4043_1_126F_4043_YR1,126,10+yr
14,387,0.8012422360248447,,2.5504651137615957,ECSC_4043_1_126F_4043_YR1,126,10+yr
15,396,0.8198757763975155,,2.198653167503234,ECSC_4043_1_126F_4043_YR1,126,10+yr
16,405,0.8385093167701864,,1.4043356252844754,ECSC_4043_1_126F_4043_YR1,126,10+yr
17,415,0.8592132505175983,,1.7557097910621113,ECSC_4043_1_126F_4043_YR1,126,10+yr
