group,age_bin,n,half_life_mean,half_life_ci_low,half_life_ci_high,half_life_n,total_benefit_mean,total_benefit_ci_low,total_benefit_ci_high,total_benefit_n,ppl_at_min_ctx_mean,ppl_at_min_ctx_ci_low,ppl_at_min_ctx_ci_high,ppl_at_min_ctx_n,ppl_at_max_ctx_mean,ppl_at_max_ctx_ci_low,ppl_at_max_ctx_ci_high,ppl_at_max_ctx_n
LI,4-5yr,66,14.716841108573949,11.50602101660867,18.147256701771912,51,4749.367527264136,2617.22602408418,7437.929052807666,54,4777.53506759361,2784.3781665766683,7807.957542599571,54,28.16754032947399,23.08779758833073,34.09287377110234,54
LI,5-6yr,78,14.37819045781878,11.096528735055445,17.999084399282985,77,25409.87631444188,9105.639011373458,48113.81228071962,77,25438.297502344303,9113.096245478346,49264.54227654592,77,28.421187902425793,22.480234496779257,36.04417674340211,77
LI,6-7yr,66,13.591670178282182,10.536171916351718,17.160611659957457,64,32530.159102283418,8787.050382320956,68574.65121043865,64,32548.265053242445,9030.075014054031,67996.43924962355,64,18.105950959026814,15.522786750085652,20.876944013312457,64
LI,7-8yr,78,14.262236051144129,11.408339384458161,17.177960856212984,78,10022.825386609786,8388.837549812672,11839.895604514159,78,10047.764289464705,8384.9352782225,11919.889564059331,78,24.938902854919434,18.503937382422965,34.09116465632732,78
LI,8-9yr,102,10.997085655818951,8.988698444453217,13.171736256737502,102,11226.998178781248,9974.697254004432,12606.646336925147,102,11248.283748280768,10089.011429668875,12612.847407143956,102,21.285569499520694,17.74357135623109,25.56628249077236,102
LI,9-10yr,60,12.162234950014794,9.380493911513836,15.467734969721075,59,11242.922979442279,9408.07993573348,13373.0307343932,60,11262.847077147166,9429.828340891996,13518.406772613525,60,19.92409770488739,16.03702765087287,24.85221780061722,60
TD,4-5yr,270,12.992386813251661,11.426898714830784,14.733355181750897,267,12993.160893135995,10064.546101842043,18314.78624092861,268,13015.375064308964,10055.623610527124,17933.51641865097,268,22.214171172967596,19.24962521004143,25.92632323703659,268
TD,5-6yr,276,10.672157077380902,9.4357117346272,11.942395776502552,273,21380.280342888047,13990.832961079315,31711.962415955135,273,21398.333594661057,14407.43964594083,30081.915968235073,273,18.053251773009805,16.404674922328294,19.916932006414992,273
TD,6-7yr,294,9.907768677102347,8.678706358792583,11.233978732493222,293,14445.989197965368,11946.264730715304,18886.525797088274,293,14463.943543587122,11890.055571681403,18913.914292912596,293,17.954345621753472,16.392476692785582,19.66606312831514,293
TD,7-8yr,300,8.311146255013778,7.6521605957515,9.082204567841796,300,14855.371771181424,12412.511591874083,19457.811798058745,300,14871.082670237223,12502.114330502827,19250.468954306285,300,15.710899055798848,14.121617042422296,17.601464933315913,300
TD,8-9yr,270,8.710207853653078,7.716272472753232,9.801599276355716,270,21238.38146498115,14475.544229941544,30115.027433080806,270,21252.827618514166,14574.26756780854,31915.506557792025,270,14.446153533017194,12.944646848793383,15.963087200632803,270
TD,9-10yr,300,8.766439066391301,7.629607327417958,10.267566258791462,299,16980.708676465354,12878.248175299168,23053.169980527637,300,16995.281347757977,12842.82105924479,22922.896269204455,300,14.572671292622884,13.271725474158924,16.0365444295009,300
