metric,score_bin,mean,sem,ci95,n,is_primary
early_ratio,low,0.6135887000389432,0.010660493463060406,0.020894567187598394,50,True
early_ratio,mid,0.5903985213478153,0.008830752810914898,0.0173082755093932,50,True
early_ratio,high,0.6177245702231143,0.008363227422030701,0.016391925747180174,50,True
log_slope_local,low,0.2888082268591567,0.0077115029482965,0.015114545778661139,50,True
log_slope_local,mid,0.31042258801154166,0.009098907882242628,0.01783385944919555,50,True
log_slope_local,high,0.2816075107839259,0.007026266216606901,0.013771481784549525,50,True
auc_log_k,low,2.8840978924677607,0.06317488482016108,0.12382277424751571,50,True
auc_log_k,mid,2.9917829250561163,0.05161249427787545,0.10116048878463588,50,True
auc_log_k,high,2.8850662781402128,0.049647051966708815,0.09730822185474927,50,True
auc_linear_k,low,128.046899402976,2.8479266439928885,5.581936222226061,50,True
auc_linear_k,mid,134.42000461606247,2.748863504505705,5.387772468831181,50,True
auc_linear_k,high,127.02759558813297,2.32350963388094,4.554078882406642,50,True
mean_gain_128,low,1.2224471488520505,0.028557511849125215,0.05597272322428542,50,False
mean_gain_128,mid,1.3016375630036476,0.03133376164184614,0.061414172818018434,50,False
mean_gain_128,high,1.2056780111989187,0.024482339533898247,0.04798538548644057,50,False
baseline_nll,low,2.6739442886784675,0.054436430808346606,0.10669540438435934,50,False
baseline_nll,mid,2.3701037093997,0.03819052333187398,0.07485342573047299,50,False
baseline_nll,high,2.2932588292583826,0.03797420866300658,0.0744294489794929,50,False
stability_early_ratio,low,0.1900766249792245,0.007119672023711771,0.013954557166475071,50,False
stability_early_ratio,mid,0.1762450295217323,0.005265687623319141,0.010320747741705516,50,False
stability_early_ratio,high,0.18006721901289185,0.00492932085020722,0.009661468866406151,50,False
