metric,g1,g2,t,p_raw,p_holm
auc,low,mid,2.083883080926661,0.03977256097150907,0.07954512194301815
auc,mid,high,1.0709646244419133,0.2868158277537929,0.2868158277537929
auc,low,high,2.664196878496287,0.009024332986788865,0.027072998960366596
log_slope,low,mid,1.8393926905822902,0.06888494548217375,0.1377698909643475
log_slope,mid,high,1.0083058888947305,0.31579075175045623,0.31579075175045623
log_slope,low,high,2.2275451735936564,0.028198434606901114,0.08459530382070335
ratio_128_32,low,mid,0.09361919478396456,0.9256047644895874,1.0
ratio_128_32,mid,high,0.8922473595008327,0.37444599391887656,1.0
ratio_128_32,low,high,0.9140370459764935,0.3629638350417749,1.0
ratio_512_128,low,mid,0.6283884869157437,0.531226316660131,1.0
ratio_512_128,mid,high,0.17310433777099643,0.8629264452534021,1.0
ratio_512_128,low,high,0.7465388424757223,0.4571475771744604,1.0
slope_early,low,mid,1.7710071124754765,0.07966851330892523,0.15933702661785046
slope_early,mid,high,0.49765273531069315,0.6198436540308092,0.6198436540308092
slope_early,low,high,2.1121635338632303,0.03721485320338533,0.11164455961015599
slope_late,low,mid,1.4464783554431246,0.15123396094279368,0.30246792188558735
slope_late,mid,high,0.9325539709504135,0.3533421724802187,0.3533421724802187
slope_late,low,high,1.6793404672380718,0.0962713354993134,0.2888140064979402
