score_bin,span_label,n,delta_nll_mean,delta_nll_sem,delta_nll_ci95,flip_rate_mean
low,early,50,0.016550135547039557,0.005165220933904797,0.010123833030453402,0.04501960784313726
low,early_mid,50,0.029582055101207646,0.016339256564675952,0.03202494286676486,0.042901960784313714
low,middle,50,0.01389106774797628,0.005141968192282005,0.01007825765687273,0.04352941176470588
low,late,50,0.013555935102350562,0.0024745744250872174,0.004850165873170946,0.04470588235294118
low,random,50,0.020581495247635206,0.00560422375679963,0.010984278563327276,0.04800000000000001
mid,early,50,0.015001624817941707,0.0036376851306288405,0.007129862856032528,0.041019607843137254
mid,early_mid,50,0.008058327441122039,0.0016209043123700231,0.0031769724522452453,0.040313725490196066
mid,middle,50,0.012926466904434521,0.0024386907684345216,0.004779833906131663,0.042823529411764705
mid,late,50,0.019218630369971793,0.003214369203209461,0.006300163638290543,0.05231372549019607
mid,random,50,0.013334732803643919,0.002089623655443265,0.004095662364668799,0.04839215686274509
high,early,50,0.010806431873171944,0.002516345235764125,0.004932036662097685,0.04023529411764706
high,early_mid,50,0.020550530667398488,0.004645969704298509,0.009106100620425078,0.04713725490196079
high,middle,50,0.017549973945991667,0.0034940500720774823,0.0068483381412718656,0.045254901960784306
high,late,50,0.017543056572184863,0.0035732614527652588,0.007003592447419907,0.052705882352941165
high,random,50,0.019935020091486934,0.003017950529990326,0.005915183038781039,0.05090196078431372
