doc_id,age_months,age_group,n_tokens,t_star,t_star_frac,I_512_star,baseline_512,top_share_512,n_eff_512,gini_512,n_positive_512,n_windows_512,ppl_full_512,top_share_256,n_eff_256,n_windows_256,model,model_tag
ECSC_4051_1_120M_4051_YR1,120,10+yr,703,632,0.89900426742532,21.44588264220792,23.583438464993684,0.5925259277491003,4.692384817892853,0.8672232480474343,12,31,13.892827452059036,0.3102269884629563,9.55272875932416,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4040_1_122F_4040_YR1,122,10+yr,612,534,0.8725490196078431,37.37735572344238,22.732887798416478,0.33679355882483836,6.997450263699265,0.82440127588001,11,31,19.27173824089797,0.34602257680942294,6.7263719152983406,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4046_1_132F_4046_YR1,132,10+yr,584,525,0.898972602739726,31.965445988409925,28.46492881410265,0.21215808488200644,10.34732745080929,0.7422861305359277,14,31,10.273887620982626,0.27436572758682815,6.755334084271046,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_2025_1_135M_2025_YR1,135,10+yr,812,730,0.8990147783251231,24.69049492005182,36.98536763180941,0.2838176417645024,11.46128104191857,0.7138430818653362,21,31,40.05961230544551,0.294229536783856,6.146273166609304,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4028_1_136F_4028_YR1,136,10+yr,703,632,0.89900426742532,8.632211851392734,16.415730831614873,0.2917658245203222,9.261427918897231,0.7684814079668165,17,31,11.590719125856774,0.2371551037068998,8.670992458269442,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_2019_1_68F_2019_YR1,68,4-6yr,647,582,0.8995363214837713,40.66467333806435,27.145319773399034,0.08694775779531935,19.94266460039472,0.48325435544739803,25,31,25.610150634361514,0.1349573890747538,11.150465845830757,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1073_1_70M_1073_YR1,70,4-6yr,864,749,0.8668981481481481,17.13078562129676,8.735411117495904,0.19234177683040568,9.22872875331651,0.7706553418356856,14,31,11.657172574090465,0.2555057581759917,6.601520251601993,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1083_3_71M_1083_YR3,71,4-6yr,575,517,0.8991304347826087,12.127651828734933,12.152717468170584,0.17107741641220597,14.546347532212932,0.6288586343591528,19,31,15.325678387999265,0.39971547060199664,5.245045319978125,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_2007_2_72M_2007_YR2,72,6-8yr,674,606,0.8991097922848664,1.2996539655264439,3.628650944550069,0.1902719249428718,17.94283504311345,0.5304418810142226,25,31,9.839533025747993,0.21996188226365465,8.739028402170126,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1092_2_74F_1092_YR2,74,6-8yr,645,580,0.8992248062015504,13.086494829048828,13.500965024511512,0.19476956300476067,23.00136096832568,0.37705692014812686,31,31,16.7638506695133,0.25436332223632285,11.63596497538114,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4003_1_75M_4003_YR1,75,6-8yr,700,630,0.9,10.696033987142705,27.933764068991657,0.36969792432731907,12.324432054050414,0.6419633039700449,25,31,19.025653662099568,0.6468932171639767,3.2716474888456397,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1014_2_76F_1014_YR2,76,6-8yr,688,523,0.7601744186046512,20.238894061125812,24.797197590547192,0.2948674315621707,7.365634069256824,0.8221145773017753,17,31,15.3997297403227,0.2907351521112515,8.480801372010486,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1014_3_76F_1014_YR3,76,6-8yr,679,611,0.8998527245949927,7.288836778515148,4.226271136390388,0.22348045429126945,15.513839158846555,0.6031257306438892,24,31,6.926595790191748,0.3971953782650232,4.385336123220223,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1004_1_78F_1004_YR1,78,6-8yr,576,518,0.8993055555555556,0.3757830149914021,3.0982128809939105,0.27546400115832054,8.71736991903467,0.7744103148013419,15,31,12.305851844016605,0.3736788421644213,7.452165379899592,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1003_2_82F_1003_YR2,82,6-8yr,591,516,0.8730964467005076,10.157376238143701,10.675897140331767,0.179813295367067,11.857756008097617,0.7020249166467399,17,31,18.261548534021852,0.15203448964861313,12.335113278576355,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1024_1_82F_1024_YR1,82,6-8yr,658,592,0.8996960486322189,28.591077375287803,16.226313028457337,0.31720782066594067,13.844113833385357,0.6145883398124536,28,31,16.09871948241699,0.5437321865587249,3.896334673354406,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1024_2_82F_1024_YR2,82,6-8yr,787,708,0.8996188055908514,23.575337452190347,14.55914733585279,0.40331748921010224,8.269663310688461,0.7846606606637866,18,31,28.20200370662056,0.6014896632525879,4.116708858998212,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1039_2_82F_1039_YR2,82,6-8yr,626,530,0.8466453674121406,60.24217031597071,28.179168139721746,0.18984223088201557,20.60555811675869,0.46001407087688434,29,31,23.29824486024197,0.32153278076152675,7.965988249142979,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1039_3_82F_1039_YR3,82,6-8yr,618,556,0.8996763754045307,7.548881807254871,7.870237700477071,0.2990595280513767,11.798645896306663,0.6992499061028927,21,31,15.51045865436865,0.5153848264939798,4.848038724715218,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1058_2_86F_1058_YR2,86,6-8yr,737,663,0.8995929443690638,10.654469604936232,11.370524022381543,0.5505890231448062,6.552862994817537,0.7941124203772786,20,31,13.340042579804745,0.6330795405302629,3.71764279776824,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1058_3_86F_1058_YR3,86,6-8yr,1194,600,0.5025125628140703,51.09828473984456,24.4366316883207,0.14885352286394216,11.38957638758858,0.7092267613835542,15,31,17.024831874311484,0.3604206372961562,5.989517928931457,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1002_2_89F_1002_YR2,89,6-8yr,579,521,0.8998272884283247,14.158200932683034,17.871292988585548,0.22217516369203225,10.80860910104043,0.729527850490232,20,31,19.418154617326746,0.2656699789189421,6.614819380657875,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1044_1_90F_1044_YR1,90,6-8yr,662,595,0.8987915407854985,27.552318605681524,35.81369747912641,0.29379983259881215,10.609055073715078,0.7357285231031004,19,31,17.964254354747286,0.24460046644083655,7.870855049440602,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1044_2_90F_1044_YR2,90,6-8yr,777,699,0.8996138996138996,7.661145601320872,13.351314745741893,0.15752656878247953,12.32515387794798,0.6835913497098784,15,31,22.486286826744493,0.30403645206418245,5.776878354535043,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1060_2_90M_1060_YR2,90,6-8yr,629,517,0.821939586645469,23.665634168483283,22.71154871117137,0.08774468347402503,24.58227490356299,0.36210980900011064,30,31,26.521041890616434,0.1872651173153942,10.548243941882435,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1040_1_91F_1040_YR1,91,6-8yr,688,523,0.7601744186046512,63.212808987490675,17.242116971911674,0.3790133318254302,8.790593748259644,0.7505227617686837,23,31,22.345122686257625,0.3988662134850474,5.116343946446818,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1034_2_93F_1034_YR2,93,6-8yr,752,676,0.898936170212766,27.90138483919335,30.557953616523086,0.36656461467473583,7.415645696163137,0.8169824562840472,15,31,25.442685251904752,0.3023254656675869,6.703020130806717,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1008_1_94F_1008_YR1,94,6-8yr,604,543,0.8990066225165563,23.5123786899005,16.52411321987791,0.2754262809338319,14.264443384400138,0.6298565689815192,26,31,9.22802496072,0.33542475292002016,7.899959464308329,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1008_3_94F_1008_YR3,94,6-8yr,654,588,0.8990825688073395,25.75322673168798,18.454942221835754,0.3312776695620734,10.667240999892195,0.7216110940830637,22,31,10.63770667775177,0.32097568323758596,8.329427883273777,15,Qwen2.5-7B-Instruct,qwen7b
