doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
shuffled_000,shuffled,shuffled,shuffled,405,29.31252382015785,5722.481037202999,7621.588407345695,10299.301426073473,9170.6176696765,5940.117106041316,3529.892928015291,3745.4558510148436,3024.5237757619298,3110.8731772603505,2956.659835458726,2765.821201744273,202185.40592832153,1725.8189241375787,-39563.2669448494,31260.214391150974,-0.19567815373813532,mistral-7b-inst
shuffled_001,shuffled,shuffled,shuffled,461,35.72528305878931,7881.095706409337,6679.481440973366,7468.151401166204,6749.423019276071,7335.975211582952,5684.99381060562,4764.7388841288275,3803.023119927041,3448.978341715507,3060.3656538804776,4820.730052528859,410657.3448564993,1488.193121865917,26393.641947341966,173437.9209120004,0.06427169093143822,mistral-7b-inst
shuffled_002,shuffled,shuffled,shuffled,326,7.550269828341412,4557.623806507111,3059.417026860434,2710.9134476110366,2599.3124120812513,2555.446244725414,2332.538180691971,2286.713771785935,2147.6360742372885,1979.3539719400944,1898.1046433090366,2659.5191631980742,287079.1923720897,613.5947943919984,50047.2999182403,23423.672375595943,0.17433273204061714,mistral-7b-inst
shuffled_003,shuffled,shuffled,shuffled,270,26.816050570897026,3239.6135448671585,2997.639297784538,2722.9583756563843,2801.0454903261475,2404.7909458718036,2051.8315150374697,1971.0260502027077,1666.3698181549344,1328.0516919875508,1321.4804452003198,1918.1330996668387,176513.24938488018,607.019283833379,17095.634903701237,45390.53961752884,0.0968518508569568,mistral-7b-inst
shuffled_004,shuffled,shuffled,shuffled,290,9.929345210922262,2232.3575248623897,1633.6327712041507,1095.6816329711078,1075.2223303363758,905.9895554519312,844.1610162674114,660.047305819837,654.7483688074274,559.4112663550853,515.9612914158611,1716.3962334465286,185169.91886515572,451.54827644780954,30048.14353901775,21854.910501020044,0.16227335262213613,mistral-7b-inst
shuffled_005,shuffled,shuffled,shuffled,311,7.0212735711554775,3149.6906599580952,2132.244704257375,2023.0290369513723,2054.3775272622293,2048.780465020098,1940.949450251009,1808.4908932865696,1840.1624357107298,1574.3647599051312,1612.6993719392885,1536.9912880188067,166350.64824567092,339.7883628042813,28790.555509337293,21520.936604453345,0.17307149574084413,mistral-7b-inst
shuffled_006,shuffled,shuffled,shuffled,365,19.717235479384417,3086.664170130358,2588.6168265905276,2630.686190299136,2436.3080723160697,1939.5058285620985,1982.547468193022,1533.1342439003288,1523.279768582874,1507.1207917645395,1324.2692428217695,1762.3949273085884,171266.3164376277,524.3703369327602,21311.971420665355,43959.14163097813,0.12443761192485747,mistral-7b-inst
shuffled_007,shuffled,shuffled,shuffled,317,14.41549962412161,2312.378080455978,1943.357874622971,1820.1904702371082,1639.7215929840577,1454.6056026130811,1462.2014371081807,1408.8034861701262,1254.4149946584391,1085.0000558620482,1110.0416074330424,1202.3364730229355,122906.85765504304,340.480447478503,17743.65658517339,23546.243308481124,0.14436669298773944,mistral-7b-inst
shuffled_008,shuffled,shuffled,shuffled,288,18.356164790427496,7010.460923564682,5432.737408522133,6478.794140105831,5205.8573418594415,4486.060308619303,4428.57585236825,3650.534843304736,3343.693620042123,3153.5989491454325,2977.263653660555,4033.197269904127,400154.98052673985,1201.3007169421498,49787.92788858581,102506.08580329653,0.12442161240389407,mistral-7b-inst
shuffled_009,shuffled,shuffled,shuffled,358,14.41642277129467,3312.3286678107524,3120.1455196674256,2781.6611701008374,2386.3726250567715,2248.4715480436867,2453.5900062192495,2095.0263892370263,1836.514939511285,1808.9394833607391,1773.4015516527127,1538.9271161580398,154890.5134344673,471.48266382127593,20392.95044443939,52058.65147724364,0.1316604225285072,mistral-7b-inst
