doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
random_000,random,random,random,405,22.512571824737186,4567.454422385658,3926.6645713317926,5103.584488401122,4716.533425904221,3169.2806620592014,2831.4287059795915,2620.9175933372308,2416.149788189177,2413.155427699957,2346.4637405318304,2220.990681853828,218791.18302362078,820.7941531173674,17653.658067278153,34479.05618136021,0.0806872462743266,mistral-7b
random_001,random,random,random,461,25.391755053262266,6279.4625999211585,6445.138142534541,5826.308502846514,5367.114118359235,4888.025172982386,4508.3678724560705,4116.129877653305,3692.4212915353264,3437.0234894362748,3364.4902544147612,2914.9723455063972,273308.5652734721,1011.0436554423378,24839.88343258712,78443.58800423652,0.0908858579230123,mistral-7b
random_002,random,random,random,326,24.658181773619713,2998.382852114791,2641.146161397803,2597.298596532022,2610.3758765936054,2348.50148572777,2077.4342734256456,1980.5816305076728,1808.4908932865696,1666.783155575153,1654.0172446999582,1344.365607414833,130575.026079189,412.41514875408046,14244.170884178893,27919.791640852156,0.10908801868084883,mistral-7b
random_003,random,random,random,270,44.78781273896041,2379.8710566069058,2151.6346507675785,1900.9313064405053,2063.3134746098676,2149.501151040867,1855.2850904253562,1715.0073049681544,1358.3658812995523,1075.0890025009294,1106.4683677609614,1273.4026888459443,110147.45394123491,376.52190216530585,8669.353225259647,51117.8479625465,0.07870679634487837,mistral-7b
random_004,random,random,random,290,11.80860480829008,1264.4102805869375,1094.866696874089,846.4671792902919,797.948174251359,741.3752774860045,656.537075521357,568.5731405961883,563.0302368359511,494.04616698377,452.2953146379478,812.1149659489897,82239.48424400673,229.7216737202757,11764.492223121231,12119.164334589772,0.14305162941216498,mistral-7b
random_005,random,random,random,311,27.944801947727733,2132.7736003737896,1839.706102808985,1869.6044115741176,1922.2658907732591,1764.6266979937197,1687.5812796437806,1579.0573488650966,1498.1764810517502,1296.4832873242387,1320.4975665210652,812.2760338527244,75622.973517959,232.70502829514544,8213.937505021684,24670.57322285646,0.10861696020285465,mistral-7b
random_006,random,random,random,365,17.695915931548747,2831.0776081183044,2465.1793470889706,2246.2420276037024,2059.7344408599793,1660.5938453754995,1611.499893101381,1254.4149946584391,1244.4987224348486,1213.1098437891246,1119.1640498991583,1711.9135582191461,174899.8775136721,525.9355036071845,22673.175331735827,35147.241540311625,0.12963516987005003,mistral-7b
random_007,random,random,random,317,16.246757226670212,1695.9730141581506,1633.2276545859659,1556.1193374635268,1373.2704953635553,1242.9564017469675,1242.9564017469675,1175.2032949266809,1010.9550869489025,1005.9528453891588,1042.5289904847423,653.4440236734083,69115.4390461662,223.6292918442591,8182.810606769004,17443.03364792362,0.11839338242940527,mistral-7b
random_008,random,random,random,288,32.89562382401009,5332.616099796438,4886.813015475151,4263.675687872704,3863.391081219661,3873.465107021533,3878.271490704781,2969.152228297087,2768.927327459937,2402.108524570755,2322.1482728282735,3010.4678269681644,285287.347466518,902.7366552343595,32364.910475006614,113305.35451871232,0.11344670824844427,mistral-7b
random_009,random,random,random,358,13.638537019695832,3492.0147014369677,3138.7731989495323,2688.7331046026793,2193.935804756327,2114.3400630708934,2269.1998053710136,1863.1239868377168,1590.4555977749696,1629.9903362126943,1480.0796612464974,2011.9350401904703,201585.15188879104,583.4130455250263,28327.22246856315,55867.69939789628,0.1405223658743998,mistral-7b
