doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
uniform_000,uniform,uniform,uniform,405,7.287884553944133,297501.5170178852,237984.37933663436,232615.6633638785,224900.35094891768,225794.58576099115,199263.02255444648,181881.58293984146,211274.32751274836,199658.77817930968,199658.77817930968,97842.73883857555,11301559.302994864,24421.478244451522,1899828.3896637433,-29164.555158998817,0.1681032093651269,mistral-7b
uniform_001,uniform,uniform,uniform,461,17.74917254364107,195445.27858400624,161708.65793055232,159478.22929021815,159320.09521365204,141649.5192198152,154341.7538005431,129005.34634038608,125067.28392359795,107534.33556860077,115467.69025361227,79977.58833039398,8264076.529853179,22651.733830922247,1090345.954058474,3227792.1965822447,0.1319380272096591,mistral-7b
uniform_002,uniform,uniform,uniform,326,15.64934053321803,258922.92623360862,240357.08539622847,231235.1590399003,198868.05138051521,197100.3470593946,173079.78229476744,168171.25181526996,159083.18805255875,153501.9046335022,144488.09288397912,114434.83334962951,11122652.573738813,34865.69903602989,1383296.8903919912,1498413.865218069,0.12436753564145574,mistral-7b
uniform_003,uniform,uniform,uniform,270,15.665330330134307,269137.0990041968,257386.29618009698,259952.43949717225,208050.41607433202,211484.02906131078,197785.9127939674,172565.42968042204,169595.35854919837,192940.83932253427,155648.74966660893,113488.34933758789,9955943.120284494,33469.037123733564,1196891.2512876922,1909337.9928147788,0.12021877152442899,mistral-7b
uniform_004,uniform,uniform,uniform,290,30.91454963307219,210228.93466074683,214441.79977077327,185894.857003937,173595.66800071948,183149.04530538342,171541.30551613367,166346.02684070801,151084.6021585904,138729.0151180242,136003.58272488142,74225.35193586542,6578368.676238909,22980.063615309777,671674.0815686577,2192682.196787388,0.10210344154087118,mistral-7b
uniform_005,uniform,uniform,uniform,311,10.771352792365713,229179.7489979538,201050.1229389166,175239.47221837673,191320.69858944157,160748.9654564104,164703.9274400446,148926.81912453903,160509.93358159327,143417.0222481133,137155.28740630727,92024.46159164654,9025511.130261319,24182.732566551276,1360783.4683695147,1475048.7923325188,0.1507707927816954,mistral-7b
uniform_006,uniform,uniform,uniform,365,18.696196840320198,275485.33689296624,257386.29618009698,249096.3972541345,231579.5151327327,182242.81734542616,177514.14157259124,172052.60560169426,174113.09136784793,151234.56204917238,154418.33120100707,121067.00569195917,12363935.831528967,39524.66802575919,1579211.789630026,1379489.2911429412,0.12772727157018376,mistral-7b
uniform_007,uniform,uniform,uniform,317,13.970818088436657,340474.4067766513,284230.18020198727,285927.07177506434,254340.34026997158,236454.69516093793,217548.82159570008,258922.92623360862,208360.2453783577,177426.11075784604,200253.88587106304,140220.52090558823,15203872.72978111,40208.50489199568,2283830.678994593,1119185.8734152021,0.15021374616751831,mistral-7b
uniform_008,uniform,uniform,uniform,288,15.398146286757907,236689.38962819174,195930.61550547316,202049.87286274903,170607.8651540586,166428.5602187428,169427.19261499256,137427.6910654254,146218.46864739707,124943.27076180205,113988.08522555641,122701.30440263533,11365901.264541395,32931.070447504666,1529217.7337258323,3379512.6175484406,0.13454434436242968,mistral-7b
uniform_009,uniform,uniform,uniform,358,10.647410167971104,233656.44759728984,238693.7212245883,184608.39255741242,192653.93849912233,198868.05138051521,182604.76919745994,177426.11075784604,165769.43807119757,159083.18805255875,172137.9703261165,61518.477271173324,7212599.0505989585,21151.202879086537,904572.0635728374,1407065.8606424527,0.1254155481577364,mistral-7b
uniform_010,uniform,uniform,uniform,353,21.817290770184172,252329.7552065776,205180.8009740394,210333.240753701,199559.76564566896,179372.91149992042,163888.9665762734,162351.6338562236,173767.97137913737,142001.26852828398,117431.57600948105,134898.17919709656,11332161.21964719,32776.76996169613,1610619.7162815854,1231225.7948564012,0.1421282035318352,mistral-7b
uniform_011,uniform,uniform,uniform,508,30.060158214225908,387726.5319540922,392759.3573152231,350759.87195994356,363152.9466274149,343187.3359600234,319528.9549781578,309237.56503238634,244202.71737387334,278369.97388639406,262804.7570053199,124921.77494877233,11648414.620175142,42913.92765470972,904280.7263484229,4197166.504137019,0.07763122758200948,mistral-7b
uniform_012,uniform,uniform,uniform,394,36.290061743462914,259179.92167280236,268337.2865208745,221578.39775130304,245417.04962358985,218739.08823795556,216579.78613426798,175849.0002039434,165358.81297037218,161148.14321393333,152137.45228312572,107042.46938967664,9465779.935808875,35977.857923508935,690281.0782218958,4685885.845887678,0.0729238459908174,mistral-7b
uniform_013,uniform,uniform,uniform,305,13.039948780805293,232385.00828773063,226467.59446097363,203155.340692804,182604.76919745994,195348.3555616519,184975.0426704889,181881.58293984146,172394.31870815202,157200.5688764735,163239.90221215982,69145.1060755708,7064537.683289364,21124.787819984453,925202.8445059552,1587978.1395282033,0.13096438662850557,mistral-7b
uniform_014,uniform,uniform,uniform,3014,23.107261243236103,230891.31500064308,223233.19515019923,216472.38232484838,215722.04553034712,182967.4399208602,172137.9703261165,146581.56373953272,149000.7098792253,147237.4085706275,142353.8913136036,88537.42368703947,8675609.291504234,30831.6955211553,797728.2062630993,2237559.9964865847,0.09195068374555443,mistral-7b
uniform_015,uniform,uniform,uniform,388,39.33623100441689,217872.79595373472,213169.15188651602,206610.626573547,203963.11434517775,195639.26891904025,211588.95787536385,165276.81008935027,177602.21606424687,161788.89045578876,162835.54298838176,55037.252965352964,4883906.3312167525,18021.518570665987,350324.91203200683,3930332.963661141,0.07173047316505937,mistral-7b
