doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
uniform_000,uniform,uniform,uniform,405,22.99730612179162,371903.2016918548,329835.46109257505,320799.44617037394,294564.7046871685,276443.5457960396,248849.40035097697,242512.73993872825,227368.06084939442,218305.512387512,185526.38367176836,186376.81802008644,16513285.744097643,51333.5675554941,2092609.4190411938,2607511.396332178,0.12672277652490552,mistral-7b-inst
uniform_001,uniform,uniform,uniform,461,9.760110290122713,165605.06581092768,145278.62512359963,121580.67744937021,131232.0254630046,113705.72697223027,126627.87378153413,103069.08411105473,100494.38586258992,96536.70439440064,104096.6836581712,61508.38215275649,7104116.279076424,18214.916859694073,1034745.0371102341,2327560.80714441,0.14565429343517966,mistral-7b-inst
uniform_002,uniform,uniform,uniform,326,12.785834238432013,291512.2481587737,259437.1721942965,231235.1590399003,216150.49036587754,188121.11626643557,172052.60560169426,174632.05697934158,193611.9372186703,146508.87266056682,165031.0453613019,126481.20279747181,13965721.755050002,38019.71884047457,2126546.8324578023,371049.23711257405,0.15226902481347543,mistral-7b-inst
uniform_003,uniform,uniform,uniform,270,14.479279376684387,254592.78723711762,242873.8906388818,252329.7552065776,197982.22633894437,227706.65804799547,179106.18603014524,160112.33672401018,187469.05065953734,200850.7673549228,182695.36942839637,71897.41780872125,7509279.535142208,23469.045786749408,912626.5182450096,-650060.6989721498,0.12153316626103286,mistral-7b-inst
uniform_004,uniform,uniform,uniform,290,21.40587813197929,269939.2954275854,239167.79002864024,230090.99928685479,227593.7363255158,196904.90796083005,171882.00313119587,176198.2533170656,172736.7104898717,161468.19900399217,143773.1606852661,126166.13474231932,11619967.12176738,35538.36516667177,1513056.8296907223,693410.2316232594,0.13021179955460913,mistral-7b-inst
uniform_005,uniform,uniform,uniform,311,14.489151743513625,229179.7489979538,188681.83452932493,185342.4209861331,174199.47841215302,134127.70118594792,156811.16959880304,133397.8465915541,143773.1606852661,139488.03793320982,127636.85550636503,101542.89349158878,10373151.536666587,26593.673584990443,1717113.2935292532,1708654.6208188608,0.165534388219402,mistral-7b-inst
uniform_006,uniform,uniform,uniform,365,9.814374933089988,285501.90148651344,288205.36312940856,231694.4144184599,271550.868538252,214654.6452121374,216472.38232484838,202150.1208750134,211484.02906131078,226243.0356350974,239642.80037916405,45859.10110734939,7423341.332476959,19713.484019568015,1131018.4262318707,-334510.9332747569,0.1523597495488574,mistral-7b-inst
uniform_007,uniform,uniform,uniform,317,13.147076339109583,374494.85118241864,293107.1881002872,292526.2027840576,227480.87060190557,222349.10444607175,206508.16655750983,199856.9506475935,185342.4209861331,165358.81297037218,173251.57362786165,201243.277554557,22014625.715721183,56294.79687207545,3424621.841795459,2463282.149934478,0.15556121126101422,mistral-7b-inst
uniform_008,uniform,uniform,uniform,288,11.695696083679925,257003.56569873085,208050.41607433202,185250.508059187,168338.17115821358,160430.3353022522,156345.16349472615,141228.56999301666,143132.7467768648,115124.54729626101,116966.50107001622,140037.06462871464,14361325.074273441,37278.02875412014,2190036.648286722,2508081.8144022673,0.15249544432427792,mistral-7b-inst
uniform_009,uniform,uniform,uniform,358,5.022296586456183,232962.07530789336,209188.7144495853,231694.4144184599,198178.73473605918,189244.2240823734,195833.45180029635,183968.50275705155,171668.98791107174,190468.4919901167,220810.36248087368,12151.712827019684,4913303.7520556515,9937.067945786637,807121.434256519,541834.4610698188,0.16427265135375188,mistral-7b-inst
