k,context,entropy,class_mass,condition
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,like to,10.026898384094238,0.25787223324005026,anne_frank
3,them like to,8.829641342163086,0.35319461044855416,anne_frank
4,of them like to,8.633108139038086,0.38513287794194184,anne_frank
6,reasons none of them like to,5.751875400543213,0.2557382950326428,anne_frank
8,of the reasons none of them like to,6.445307731628418,0.37384698236564873,anne_frank
1,To,10.95307731628418,0.0984644319396466,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,allowed to,8.874320983886719,0.3262006512086373,anne_frank
3,not allowed to,8.32333755493164,0.3540046744674328,anne_frank
4,we not allowed to,8.445576667785645,0.42691145939170383,anne_frank
6,only were we not allowed to,8.552324295043945,0.3956617822695989,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,left to,2.615504264831543,0.0059148639666091185,anne_frank
3,transportation left to,9.305171966552734,0.09562476209248416,anne_frank
4,of transportation left to,8.745342254638672,0.1330922997003654,anne_frank
6,only mode of transportation left to,8.541488647460938,0.061191004220745526,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,not to,6.496555805206299,0.2864716785843484,anne_frank
3,learned not to,8.697261810302734,0.3741839007125236,anne_frank
4,she’s learned not to,8.995626449584961,0.29262430741800927,anne_frank
6,At least she’s learned not to,8.439875602722168,0.30976791052671615,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,had to,8.512750625610352,0.43977180296496954,anne_frank
3,airmen had to,8.687779426574707,0.33516412591416156,anne_frank
4,Allied airmen had to,8.321884155273438,0.30549056844756706,anne_frank
6,couple of Allied airmen had to,7.538258075714111,0.405743123148568,anne_frank
8,"Unfortunately, a couple of Allied airmen had to",7.340748310089111,0.43670629685220774,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,rights to,10.557485580444336,0.13575327720900532,anne_frank
3,your rights to,9.225885391235352,0.19178827797441045,anne_frank
4,about your rights to,9.432133674621582,0.19658851763233542,anne_frank
6,business talking about your rights to,8.898137092590332,0.19055078603560105,anne_frank
8,have no business talking about your rights to,8.64416217803955,0.16899493133678334,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,me to,10.712076187133789,0.22268274791713338,anne_frank
3,allows me to,8.954705238342285,0.3599438104138244,anne_frank
4,writing allows me to,8.880064964294434,0.3534503036062233,anne_frank
6,"much, because writing allows me to",8.462577819824219,0.40819447302783374,anne_frank
8,"so very much, because writing allows me to",8.003684997558594,0.4696577117720153,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,much to,8.158526420593262,0.2360898369224742,anne_frank
3,so much to,8.253514289855957,0.2732541279983707,anne_frank
4,still so much to,6.448596954345703,0.4619849997761776,anne_frank
6,"Oh, there’s still so much to",4.428464889526367,0.747021241287257,anne_frank
1,to,11.301959037780762,0.04688399058068171,anne_frank
2,friendship to,9.732248306274414,0.07627512255567126,anne_frank
3,his friendship to,10.551413536071777,0.029950309559353627,anne_frank
4,and his friendship to,10.601297378540039,0.021027776325354353,anne_frank
6,given himself and his friendship to,9.940518379211426,0.05803708851453848,anne_frank
