word_count,n_per_condition,available_anne,available_michelle
4,18,216,207
5,19,243,218
6,10,270,269
7,21,276,283
8,22,299,264
9,22,313,351
10,22,322,301
11,14,288,293
12,31,294,299
13,32,317,279
14,25,273,304
15,21,262,273
16,27,269,259
17,22,217,227
18,14,211,243
19,11,181,227
20,19,173,242
21,19,161,219
22,20,185,215
23,15,137,212
24,6,114,202
25,9,115,201
26,5,100,180
27,9,88,174
28,10,84,152
29,5,73,157
30,3,61,144
31,5,49,118
32,5,51,134
33,7,46,111
34,4,33,116
35,2,38,104
37,4,21,85
38,4,30,85
39,2,27,71
41,1,18,52
42,2,17,44
44,1,17,51
45,2,13,34
46,1,10,36
48,1,10,24
49,1,5,23
52,1,5,17
53,1,5,14
54,1,9,12
56,1,4,9
57,1,3,11
65,1,1,2
66,1,1,3
