Results base: results
Bootstrap: 1000 resamples, 95% CI
================================================================================
Dataset                               α             95% CI        r  N grp  Boot SD
--------------------------------------------------------------------------------
Llama Chinese Wiki               -0.781   [-0.864, -0.652]   -0.975     57    0.053
Llama Japanese Wiki              -0.808   [-0.891, -0.684]   -0.952     60    0.052
Llama Korean Wiki                -0.730   [-0.799, -0.637]   -0.961     58    0.044
Llama Turkish Wiki               -0.879   [-0.967, -0.722]   -0.973     60    0.061
Llama Arabic Wiki                -0.790   [-0.925, -0.660]   -0.951     59    0.063
Llama Finnish Wiki               -0.766   [-0.950, -0.571]   -0.905     60    0.097
Llama Buckeye                    -0.865   [-1.107, -0.473]   -0.925     26    0.153
Llama French Oral                -0.695   [-0.945, -0.535]   -0.887     87    0.105
Llama zh intact (corrected)      -1.025   [-1.179, -0.931]   -0.943     57    0.062
Llama zh D4 (corrected)          -0.102    [-1.465, 0.509]   -0.241     57    0.489
