doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,adult_turn_frac,adult_token_frac,canonical_sim,group_canonical_mean
ECSC_4051_1_120M_4051_YR1,ecsc,10+yr,511,145,3.524137931034483,0.4090019569471624,51.664138176638176,,,,0.0769068478788026,0.08778258866234087
ECSC_4040_1_122F_4040_YR1,ecsc,10+yr,455,121,3.760330578512397,0.34285714285714286,36.45833333333333,,,,0.09462998135034821,0.08778258866234087
ECSC_4041_1_122F_4041_YR1,ecsc,10+yr,356,102,3.4901960784313726,0.3707865168539326,32.99702473766278,,,,0.07361970156948884,0.08778258866234087
ECSC_4058_1_122M_4058_YR1,ecsc,10+yr,211,45,4.688888888888889,0.41706161137440756,28.897970421648836,,,,0.09368541296074077,0.08778258866234087
ECSC_4061_1_122M_4061_YR1,ecsc,10+yr,395,75,5.266666666666667,0.3367088607594937,33.36457730167921,,,,0.09392366259776551,0.08778258866234087
ECSC_4077_1_123F_4077_YR1,ecsc,10+yr,226,38,5.947368421052632,0.4026548672566372,34.976190476190474,,,,0.0517189070785819,0.08778258866234087
ECSC_4052_1_124M_4052_YR1,ecsc,10+yr,239,70,3.414285714285714,0.42677824267782427,24.163683922251867,,,,0.04314232446009993,0.08778258866234087
ECSC_4065_1_125F_4065_YR1,ecsc,10+yr,295,53,5.566037735849057,0.4033898305084746,30.741387402609597,,,,0.09665125974222465,0.08778258866234087
ECSC_4043_1_126F_4043_YR1,ecsc,10+yr,350,72,4.861111111111111,0.32571428571428573,30.657357964909952,,,,0.13509475568512402,0.08778258866234087
ECSC_4067_1_128F_4067_YR1,ecsc,10+yr,280,43,6.511627906976744,0.4357142857142857,33.138297872340424,,,,0.1212633971021185,0.08778258866234087
ECSC_4073_1_129F_4073_YR1,ecsc,10+yr,371,55,6.745454545454545,0.3692722371967655,30.186121613106494,,,,0.10456663729532786,0.08778258866234087
ECSC_4053_1_129M_4053_YR1,ecsc,10+yr,396,98,4.040816326530612,0.3787878787878788,37.238423528790825,,,,0.13443831728809222,0.08778258866234087
ECSC_1059_1_132F_1059_YR1,ecsc,10+yr,213,32,6.65625,0.3615023474178404,20.331818181818182,,,,0.07922605996640876,0.08778258866234087
ECSC_4046_1_132F_4046_YR1,ecsc,10+yr,406,89,4.561797752808989,0.3866995073891626,24.207444730880397,,,,0.0497609593816354,0.08778258866234087
ECSC_4063_1_132F_4063_YR1,ecsc,10+yr,332,77,4.311688311688312,0.30120481927710846,27.49188653536479,,,,0.13021494845233794,0.08778258866234087
ECSC_4087_1_132M_4087_YR1,ecsc,10+yr,278,58,4.793103448275862,0.3489208633093525,24.21969696969697,,,,0.08900460551778859,0.08778258866234087
ECSC_4032_1_134M_4032_YR1,ecsc,10+yr,278,64,4.34375,0.4676258992805755,44.96737421383648,,,,0.12130896066879673,0.08778258866234087
ECSC_4072_1_135F_4072_YR1,ecsc,10+yr,356,87,4.091954022988506,0.4606741573033708,57.79417475728155,,,,0.05302492298214312,0.08778258866234087
ECSC_2025_1_135M_2025_YR1,ecsc,10+yr,570,152,3.75,0.3631578947368421,37.26830600105832,,,,0.042907957357309456,0.08778258866234087
ECSC_4038_1_135M_4038_YR1,ecsc,10+yr,129,34,3.7941176470588234,0.4728682170542636,20.107512953367877,,,,0.061154609076011786,0.08778258866234087
ECSC_4028_1_136F_4028_YR1,ecsc,10+yr,515,150,3.433333333333333,0.36699029126213595,30.48023462693206,,,,0.10327737813184833,0.08778258866234087
ECSC_4078_1_136F_4078_YR1,ecsc,10+yr,252,54,4.666666666666667,0.3968253968253968,36.01542894660052,,,,0.0894145642366732,0.08778258866234087
ECSC_4064_1_138F_4064_YR1,ecsc,10+yr,382,62,6.161290322580645,0.3717277486910995,35.44406340989971,,,,0.07098962818658133,0.08778258866234087
ECSC_4088_1_138F_4088_YR1,ecsc,10+yr,269,52,5.173076923076923,0.44981412639405205,31.016326593749703,,,,0.09685632892993148,0.08778258866234087
ECSC_4035_1_59F_4035_YR1,ecsc,4-6yr,137,45,3.0444444444444443,0.5547445255474452,36.4516973636692,,,,0.02766297891841636,0.07551843430128889
ECSC_4004_1_61F_4004_YR1,ecsc,4-6yr,133,30,4.433333333333334,0.46616541353383456,23.405392156862746,,,,0.06210654661623058,0.07551843430128889
ECSC_3007_1_61M_3007_YR1,ecsc,4-6yr,85,25,3.4,0.5176470588235295,22.901097271648872,,,,0.03489176580221336,0.07551843430128889
ECSC_1013_1_62F_1013_YR1,ecsc,4-6yr,125,55,2.272727272727273,0.536,16.74107142857143,,,,0.04255299325182515,0.07551843430128889
ECSC_1013_2_62F_1013_YR2,ecsc,4-6yr,245,64,3.828125,0.39183673469387753,25.286317567567565,,,,0.09553393344806677,0.07551843430128889
ECSC_1013_3_62F_1013_YR3,ecsc,4-6yr,132,35,3.7714285714285714,0.4696969696969697,29.826923076923077,,,,0.0614293228553202,0.07551843430128889
ECSC_3004_1_62F_3004_YR1,ecsc,4-6yr,304,89,3.4157303370786516,0.3355263157894737,20.547247513855034,,,,0.08279953231715552,0.07551843430128889
ECSC_1037_1_63M_1037_YR1,ecsc,4-6yr,172,51,3.372549019607843,0.4069767441860465,31.660740740740742,,,,0.09276752090105433,0.07551843430128889
ECSC_1037_2_63M_1037_YR2,ecsc,4-6yr,247,65,3.8,0.43724696356275305,36.69369637003368,,,,0.0808705523250588,0.07551843430128889
ECSC_1037_3_63M_1037_YR3,ecsc,4-6yr,231,72,3.2083333333333335,0.4329004329004329,38.787017994858616,,,,0.09225408032783207,0.07551843430128889
ECSC_2017_1_63M_2017_YR1,ecsc,4-6yr,204,42,4.857142857142857,0.3872549019607843,19.250019849146486,,,,0.06531940166590697,0.07551843430128889
ECSC_4071_1_63M_4071_YR1,ecsc,4-6yr,183,44,4.159090909090909,0.4207650273224044,20.333333333333332,,,,0.06167367650480146,0.07551843430128889
ECSC_1017_1_64F_1017_YR1,ecsc,4-6yr,261,85,3.070588235294118,0.3946360153256705,27.31762439986602,,,,0.08030719109071226,0.07551843430128889
ECSC_1017_2_64F_1017_YR2,ecsc,4-6yr,134,30,4.466666666666667,0.47761194029850745,20.738095238095237,,,,0.06161419156248644,0.07551843430128889
ECSC_1017_3_64F_1017_YR3,ecsc,4-6yr,301,64,4.703125,0.3122923588039867,18.875912921348316,,,,0.10198420005913789,0.07551843430128889
ECSC_4050_1_64F_4050_YR1,ecsc,4-6yr,239,70,3.414285714285714,0.42677824267782427,32.40442246144894,,,,0.0805575200012668,0.07551843430128889
ECSC_1032_1_64M_1032_YR1,ecsc,4-6yr,147,46,3.1956521739130435,0.42857142857142855,17.33716561525238,,,,0.06570143686897402,0.07551843430128889
ECSC_1032_2_64M_1032_YR2,ecsc,4-6yr,137,18,7.611111111111111,0.5036496350364964,25.116666666666667,,,,0.07716085665256212,0.07551843430128889
ECSC_1032_3_64M_1032_YR3,ecsc,4-6yr,330,78,4.230769230769231,0.3303030303030303,27.223222882929583,,,,0.08212594218036945,0.07551843430128889
ECSC_1055_1_64M_1055_YR1,ecsc,4-6yr,218,72,3.0277777777777777,0.3348623853211009,17.851825490533287,,,,0.08988747172133893,0.07551843430128889
ECSC_1055_2_64M_1055_YR2,ecsc,4-6yr,159,52,3.0576923076923075,0.5094339622641509,31.8,,,,0.0524002826075145,0.07551843430128889
ECSC_1055_3_64M_1055_YR3,ecsc,4-6yr,232,80,2.9,0.45689655172413796,33.761621053710535,,,,0.0866029521805866,0.07551843430128889
ECSC_2005_1_64M_2005_YR1,ecsc,4-6yr,70,25,2.8,0.6571428571428571,63.92361111111111,,,,0.05795383983373733,0.07551843430128889
ECSC_4001_1_64M_4001_YR1,ecsc,4-6yr,98,25,3.92,0.37755102040816324,16.333333333333332,,,,0.060455525255447486,0.07551843430128889
ECSC_4002_1_64M_4002_YR1,ecsc,4-6yr,232,52,4.461538461538462,0.3879310344827586,19.679281940102324,,,,0.06460046086062009,0.07551843430128889
ECSC_4012_1_65F_4012_YR1,ecsc,4-6yr,221,61,3.622950819672131,0.3755656108597285,23.456833073621826,,,,0.05217144807008919,0.07551843430128889
ECSC_1020_1_65M_1020_YR1,ecsc,4-6yr,170,42,4.0476190476190474,0.4647058823529412,36.71506352087114,,,,0.08172803984635546,0.07551843430128889
ECSC_1020_2_65M_1020_YR2,ecsc,4-6yr,324,83,3.9036144578313254,0.38271604938271603,36.29032258064516,,,,0.09801311199118465,0.07551843430128889
ECSC_1020_3_65M_1020_YR3,ecsc,4-6yr,234,64,3.65625,0.47863247863247865,34.27822534891638,,,,0.06785072567627717,0.07551843430128889
ECSC_1053_1_65M_1053_YR1,ecsc,4-6yr,218,57,3.824561403508772,0.3440366972477064,18.185506014182963,,,,0.06346765862288255,0.07551843430128889
ECSC_1053_2_65M_1053_YR2,ecsc,4-6yr,292,76,3.8421052631578947,0.3493150684931507,25.368794326241137,,,,0.07515390649604933,0.07551843430128889
ECSC_1053_3_65M_1053_YR3,ecsc,4-6yr,218,47,4.638297872340425,0.4036697247706422,19.370973782771536,,,,0.06730895862624703,0.07551843430128889
ECSC_1097_1_65M_1097_YR1,ecsc,4-6yr,89,54,1.6481481481481481,0.5393258426966292,7.889346475830408,,,,0.011595689207268082,0.07551843430128889
ECSC_1097_2_65M_1097_YR2,ecsc,4-6yr,144,41,3.5121951219512195,0.5486111111111112,30.175947281713345,,,,0.05682903604641841,0.07551843430128889
ECSC_1097_3_65M_1097_YR3,ecsc,4-6yr,289,61,4.737704918032787,0.3944636678200692,28.16525423728813,,,,0.08761643069644252,0.07551843430128889
ECSC_2003_1_65M_2003_YR1,ecsc,4-6yr,115,29,3.9655172413793105,0.43478260869565216,19.593696027633854,,,,0.06167726746592467,0.07551843430128889
ECSC_2003_2_65M_2003_YR2,ecsc,4-6yr,276,45,6.133333333333334,0.3079710144927536,18.14931880108992,,,,0.07251951943906508,0.07551843430128889
ECSC_4005_1_65M_4005_YR1,ecsc,4-6yr,262,68,3.8529411764705883,0.3702290076335878,23.869515466649005,,,,0.08465223897638206,0.07551843430128889
ECSC_2008_1_66F_2008_YR1,ecsc,4-6yr,370,89,4.157303370786517,0.26756756756756755,22.397256083333765,,,,0.057982826481945415,0.07551843430128889
ECSC_2008_2_66F_2008_YR2,ecsc,4-6yr,291,60,4.85,0.3333333333333333,20.50939571407427,,,,0.09506581597514807,0.07551843430128889
ECSC_4076_1_66F_4076_YR1,ecsc,4-6yr,220,61,3.6065573770491803,0.4409090909090909,25.434684743180185,,,,0.06750753034135075,0.07551843430128889
ECSC_1036_1_66M_1036_YR1,ecsc,4-6yr,297,68,4.367647058823529,0.37373737373737376,29.86083032490975,,,,0.0830423959684799,0.07551843430128889
ECSC_1036_2_66M_1036_YR2,ecsc,4-6yr,305,52,5.865384615384615,0.3442622950819672,20.333333333333332,,,,0.09176099463125266,0.07551843430128889
ECSC_1036_3_66M_1036_YR3,ecsc,4-6yr,331,63,5.253968253968254,0.283987915407855,22.528923190003674,,,,0.08746380969014259,0.07551843430128889
ECSC_2001_1_66M_2001_YR1,ecsc,4-6yr,224,57,3.9298245614035086,0.33035714285714285,14.558123953098828,,,,0.04194772042576856,0.07551843430128889
ECSC_2001_2_66M_2001_YR2,ecsc,4-6yr,325,64,5.078125,0.3415384615384615,24.055891238670696,,,,0.0947621532475634,0.07551843430128889
ECSC_2011_1_66M_2011_YR1,ecsc,4-6yr,266,46,5.782608695652174,0.35714285714285715,26.063709677419354,,,,0.08316795571604454,0.07551843430128889
ECSC_2016_1_66M_2016_YR1,ecsc,4-6yr,157,39,4.0256410256410255,0.4394904458598726,19.366170347437812,,,,0.060085907977745025,0.07551843430128889
ECSC_2022_1_66M_2022_YR1,ecsc,4-6yr,193,53,3.641509433962264,0.41968911917098445,25.708321528134846,,,,0.046822438612783006,0.07551843430128889
ECSC_1057_1_67F_1057_YR1,ecsc,4-6yr,355,131,2.7099236641221376,0.29014084507042254,17.209264952487423,,,,0.08298872823356117,0.07551843430128889
ECSC_1057_2_67F_1057_YR2,ecsc,4-6yr,244,61,4.0,0.35655737704918034,24.585359116022097,,,,0.08475839463198491,0.07551843430128889
