doc_id,file_id,story_id,group,age_bin,age_years,word_count,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,adult_token_frac,canonical_sim
474_A1,474,A1,LI,4-5yr,4.681666666666667,50,52,13,4.0,0.5576923076923077,14.823114869626497,0.47368421052631576,0.051609332028594336
474_A2,474,A2,LI,4-5yr,4.681666666666667,69,71,15,4.733333333333333,0.5492957746478874,20.680125014321906,0.4152542372881356,0.05818652510273985
474_A3,474,A3,LI,4-5yr,4.681666666666667,109,114,22,5.181818181818182,0.4298245614035088,19.534730538922155,0.39444444444444443,0.06950016042981777
474_B1,474,B1,LI,4-5yr,4.681666666666667,78,82,13,6.3076923076923075,0.524390243902439,17.52490974729242,0.24271844660194175,0.11263972198145591
474_B2,474,B2,LI,4-5yr,4.681666666666667,113,118,16,7.375,0.5084745762711864,37.10859728506787,0.07377049180327869,0.08936878070975274
474_B3,474,B3,LI,4-5yr,4.681666666666667,122,128,16,8.0,0.40625,24.74214294320192,0.024,0.09288956580555453
475_A1,475,A1,LI,4-5yr,4.676666666666667,32,31,7,4.428571428571429,0.5483870967741935,13.355166051660516,0.0,0.04708726450956328
475_A2,475,A2,LI,4-5yr,4.676666666666667,35,35,8,4.375,0.5428571428571428,15.903284671532848,0.027777777777777776,0.060949347005635354
475_A3,475,A3,LI,4-5yr,4.676666666666667,82,82,18,4.555555555555555,0.45121951219512196,19.79016620498615,0.03529411764705882,0.0515497634130635
475_B1,475,B1,LI,4-5yr,4.676666666666667,20,23,6,3.8333333333333335,0.5217391304347826,8.556609454983438,0.13043478260869565,0.04537112268549636
475_B2,475,B2,LI,4-5yr,4.676666666666667,37,40,9,4.444444444444445,0.525,13.333333333333334,0.0,0.04584552031721768
475_B3,475,B3,LI,4-5yr,4.676666666666667,83,91,19,4.7894736842105265,0.3626373626373626,13.587695541014863,0.13541666666666666,0.05713696930868834
476_A1,476,A1,LI,4-5yr,4.755833333333333,38,37,8,4.625,0.5945945945945946,13.637820512820513,0.36666666666666664,0.03879082448782219
476_A2,476,A2,LI,4-5yr,4.755833333333333,53,53,11,4.818181818181818,0.49056603773584906,17.743813682678315,0.4175824175824176,0.05272523391019053
476_A3,476,A3,LI,4-5yr,4.755833333333333,108,109,21,5.190476190476191,0.3486238532110092,13.625,0.40331491712707185,0.054363522557910444
476_B1,476,B1,LI,4-5yr,4.755833333333333,72,74,17,4.352941176470588,0.43243243243243246,17.03639240506329,0.3793103448275862,0.060271022887332604
476_B2,476,B2,LI,4-5yr,4.755833333333333,75,77,17,4.529411764705882,0.35064935064935066,11.2900390625,0.4186046511627907,0.04066710700313437
476_B3,476,B3,LI,4-5yr,4.755833333333333,115,115,22,5.2272727272727275,0.34782608695652173,15.227308853918295,0.41919191919191917,0.045478384184132074
477_A1,477,A1,LI,4-5yr,4.6691666666666665,37,39,8,4.875,0.5897435897435898,19.5,0.0,0.04725478201562691
477_A2,477,A2,LI,4-5yr,4.6691666666666665,43,44,9,4.888888888888889,0.5454545454545454,13.197060788243153,0.0,0.05747453147623992
477_A3,477,A3,LI,4-5yr,4.6691666666666665,57,58,16,3.625,0.5172413793103449,11.6,0.0,0.04424493275543477
477_B1,477,B1,LI,4-5yr,4.6691666666666665,21,21,7,3.0,0.8571428571428571,41.15999999999999,0.5625,0.04192263534199472
477_B2,477,B2,LI,4-5yr,4.6691666666666665,37,42,10,4.2,0.5238095238095238,14.0,0.2127659574468085,0.04353938869714889
477_B3,477,B3,LI,4-5yr,4.6691666666666665,53,54,13,4.153846153846154,0.5,10.8,0.0,0.034234038225853594
478_A1,478,A1,LI,4-5yr,4.503333333333333,11,11,5,2.2,0.5454545454545454,5.65566037735849,0.8225806451612904,0.007343564129193445
478_A2,478,A2,LI,4-5yr,4.503333333333333,25,25,7,3.5714285714285716,0.52,8.044391909640137,0.6031746031746031,0.035896699482604974
478_A3,478,A3,LI,4-5yr,4.503333333333333,61,58,15,3.8666666666666667,0.3103448275862069,7.902116402116402,0.031746031746031744,0.02701924895673019
478_B1,478,B1,LI,4-5yr,4.503333333333333,18,18,6,3.0,0.3888888888888889,9.0,0.0,0.05210857808747172
478_B2,478,B2,LI,4-5yr,4.503333333333333,34,34,9,3.7777777777777777,0.8235294117647058,53.94666666666666,0.0,0.031175715336966496
478_B3,478,B3,LI,4-5yr,4.503333333333333,77,86,14,6.142857142857143,0.32558139534883723,19.064155064155063,0.0,0.05741433869928932
482_A1,482,A1,LI,4-5yr,4.516666666666667,22,22,6,3.6666666666666665,0.8181818181818182,33.88000000000001,0.0,0.03108104273696449
482_A2,482,A2,LI,4-5yr,4.516666666666667,43,43,9,4.777777777777778,0.627906976744186,21.5,0.0,0.05571573577098945
482_A3,482,A3,LI,4-5yr,4.516666666666667,59,59,16,3.6875,0.4576271186440678,13.275,0.2891566265060241,0.045146051841952
482_B1,482,B1,LI,4-5yr,4.516666666666667,31,34,6,5.666666666666667,0.7941176470588235,46.239999999999995,0.0,0.04397993278050345
482_B2,482,B2,LI,4-5yr,4.516666666666667,40,40,9,4.444444444444445,0.625,15.335900727428326,0.0,0.04245351610032123
482_B3,482,B3,LI,4-5yr,4.516666666666667,72,73,16,4.5625,0.6301369863013698,29.504030667262825,0.0,0.0645320780451477
523_A1,523,A1,LI,5-6yr,5.440833333333333,39,39,9,4.333333333333333,0.7435897435897436,32.61353711790393,0.0,0.046528458277003124
523_A2,523,A2,LI,5-6yr,5.440833333333333,60,66,18,3.6666666666666665,0.6515151515151515,46.57449819866187,0.0,0.057165174936548505
523_A3,523,A3,LI,5-6yr,5.440833333333333,91,98,25,3.92,0.5102040816326531,18.284388335704122,0.0,0.05784725314328955
523_B1,523,B1,LI,5-6yr,5.440833333333333,51,57,10,5.7,0.631578947368421,26.778985507246375,0.0,0.0699675360873097
523_B2,523,B2,LI,5-6yr,5.440833333333333,61,64,15,4.266666666666667,0.609375,29.35099337748344,0.0,0.061494945686997184
523_B3,523,B3,LI,5-6yr,5.440833333333333,115,117,29,4.0344827586206895,0.5641025641025641,27.701482380817172,0.017094017094017096,0.0700194661554865
575_A1,575,A1,LI,5-6yr,5.1875,63,63,9,7.0,0.4444444444444444,15.75,0.07352941176470588,0.06885201840779488
575_A2,575,A2,LI,5-6yr,5.1875,64,64,12,5.333333333333333,0.484375,15.3993993993994,0.0,0.06461817405425987
575_A3,575,A3,LI,5-6yr,5.1875,167,170,26,6.538461538461538,0.3176470588235294,22.45971170387361,0.011834319526627219,0.052270854887007945
575_B1,575,B1,LI,5-6yr,5.1875,58,58,8,7.25,0.46551724137931033,16.105704697986578,0.0,0.09798460352674022
575_B2,575,B2,LI,5-6yr,5.1875,77,79,15,5.266666666666667,0.46835443037974683,19.115359897172237,0.07228915662650602,0.07921736346113056
575_B3,575,B3,LI,5-6yr,5.1875,162,159,23,6.913043478260869,0.3584905660377358,18.946839975093397,0.04142011834319527,0.0878968750284163
613_A1,613,A1,LI,6-7yr,6.759166666666666,29,31,6,5.166666666666667,0.6774193548387096,24.141592920353983,0.0,0.08084566073863664
613_A2,613,A2,LI,6-7yr,6.759166666666666,46,45,9,5.0,0.6888888888888889,39.48529411764706,0.0,0.06636900780694155
613_A3,613,A3,LI,6-7yr,6.759166666666666,83,85,15,5.666666666666667,0.5058823529411764,21.25,0.04597701149425287,0.07379646081554844
613_B1,613,B1,LI,6-7yr,6.759166666666666,38,39,8,4.875,0.6153846153846154,19.538844621513945,0.07317073170731707,0.06649959699175469
613_B2,613,B2,LI,6-7yr,6.759166666666666,41,43,9,4.777777777777778,0.6976744186046512,39.07664233576642,0.0,0.04364770763141516
613_B3,613,B3,LI,6-7yr,6.759166666666666,79,80,14,5.714285714285714,0.5625,24.102564102564102,0.0,0.069163696590951
413_A1,413,A1,LI,4-5yr,4.855,55,33,12,2.75,0.696969696969697,19.34310379441879,0.36046511627906974,0.03579877200113464
413_A2,413,A2,LI,4-5yr,4.855,49,31,9,3.4444444444444446,0.5806451612903226,10.333333333333334,0.30985915492957744,0.036421384729688214
413_A3,413,A3,LI,4-5yr,4.855,85,53,21,2.5238095238095237,0.39622641509433965,8.833333333333334,0.19047619047619047,0.04006877366130637
413_B1,413,B1,LI,4-5yr,4.855,34,22,8,2.75,0.7727272727272727,27.104,0.32,0.0437780072839347
413_B2,413,B2,LI,4-5yr,4.855,48,37,11,3.3636363636363638,0.6486486486486487,13.03631349115146,0.2727272727272727,0.04489536789028424
413_B3,413,B3,LI,4-5yr,4.855,71,47,17,2.764705882352941,0.574468085106383,11.26844262295082,0.24468085106382978,0.03362883033237461
444_A1,444,A1,LI,4-5yr,4.17,44,32,9,3.5555555555555554,0.28125,7.481865284974093,0.18518518518518517,0.027497250597367285
444_A2,444,A2,LI,4-5yr,4.17,79,57,15,3.8,0.49122807017543857,14.25,0.036585365853658534,0.03218795343122625
444_A3,444,A3,LI,4-5yr,4.17,97,72,20,3.6,0.25,8.0,0.0673076923076923,0.03347931944413066
444_B1,444,B1,LI,4-5yr,4.17,46,33,10,3.3,0.6363636363636364,13.75,0.14814814814814814,0.062154898607552404
444_B2,444,B2,LI,4-5yr,4.17,52,33,16,2.0625,0.696969696969697,16.791800643086816,0.13333333333333333,0.023259704492862278
444_B3,444,B3,LI,4-5yr,4.17,102,73,23,3.1739130434782608,0.4383561643835616,10.645833333333332,0.06422018348623854,0.03791848599845698
