story_id,age_bin,group,n,n_tokens_median,n_tokens_q25,n_tokens_q75,ttr_mean,ttr_ci_low,ttr_ci_high,mtld_mean,mtld_ci_low,mtld_ci_high,tokens_per_sentence_mean,tokens_per_sentence_ci_low,tokens_per_sentence_ci_high,canonical_sim_mean,canonical_sim_ci_low,canonical_sim_ci_high,adult_token_frac_mean,adult_token_frac_ci_low,adult_token_frac_ci_high
A1,4-5yr,TD,45,50.0,43.0,67.0,0.5823217115684359,0.5523352722661988,0.6114897283881242,24.64943550686032,21.83714171065176,27.272628937634387,6.511994775854427,6.1280469844483,6.926663065329731,0.06884655647744232,0.06318311945995506,0.07441096549739777,0.15555905451547541,0.1083175662811548,0.21096045780013764
A1,4-5yr,LI,11,33.0,26.5,45.5,0.5870024528718253,0.4894521339520869,0.6734846315548717,18.361722360174866,13.919928387958892,23.134102799023935,3.9623596210552736,3.318280436351089,4.536019629525064,0.04101201478096086,0.03184268952935242,0.049972879513322264,0.2902033711504795,0.163815400968806,0.4386772146564825
A1,5-6yr,TD,46,57.0,41.5,69.75,0.5785387271690082,0.5524809900654829,0.6038342458242923,25.729638230075995,22.441678038831782,29.05948983200724,7.1058723884810835,6.700874199773657,7.625461012417534,0.07059336323192845,0.06533629939099969,0.07584363776748726,0.14644627400932736,0.11295406998685996,0.18204967937748284
A1,5-6yr,LI,13,43.0,39.0,72.0,0.5663238040000332,0.4983106623882619,0.6235399706246559,21.71546964187086,17.660519132068842,25.67043510643685,5.842685519608596,4.84398332436794,7.017850098619329,0.05302082280615836,0.044363630448149054,0.06245293166037888,0.2042572103262394,0.13727287798016388,0.26477575917782353
A1,6-7yr,TD,49,49.0,41.0,58.0,0.5906909005529507,0.5653616922433354,0.6154855054187797,26.58582222796663,23.77353239382561,30.43075287763312,7.30402618923027,6.949273706735441,7.615450244200243,0.07396143246951385,0.06872376088841423,0.07939858742408079,0.10783331045022998,0.08108959038337053,0.13338254879535158
A1,6-7yr,LI,11,51.0,45.0,61.0,0.5447537574515023,0.47574710739896464,0.6056441792893688,20.478425350861098,16.766214451589292,24.647687751055383,6.754427108838874,5.928303824443529,7.459253177378176,0.06897928410068314,0.06303028117361612,0.07458050775733821,0.15458579702578473,0.1106743420036701,0.19078877810193634
A1,7-8yr,TD,50,65.5,50.0,74.0,0.5642044646875239,0.5398692085876351,0.5870891573141088,25.792337085260925,23.50250869535528,27.8158998084287,8.196845598845599,7.785448827561328,8.551507972582971,0.07691962964442092,0.07111686026179195,0.08274574181703531,0.08830846757415689,0.068358037580535,0.10909057130061627
A1,7-8yr,LI,13,45.0,37.0,62.0,0.5328855120397717,0.4920810498162649,0.5702688232544002,20.08246077254341,16.866180617813818,24.14879850586372,6.409840305892937,5.693098451256347,7.019764957264957,0.06263677714048908,0.05263459427761717,0.07148130146297402,0.19887153326797066,0.16009581994532363,0.23700966409438523
A1,8-9yr,TD,45,62.0,49.0,88.0,0.5772862625713444,0.5516730346405176,0.6033098255262627,28.533915881461777,25.334806976229203,31.569541248245134,8.059972743306076,7.579764736806404,8.495363434405101,0.07733564015850836,0.07235843287404072,0.08209601466722184,0.08617900759283169,0.06420217849171012,0.11225491005433288
A1,8-9yr,LI,17,59.0,48.0,77.0,0.5843434571776144,0.545018946354703,0.6267229374277433,27.7638664837461,21.51530583631083,34.597863927220374,7.120211977564919,6.472261912923678,7.738177961744138,0.06517174296865141,0.05471605013672688,0.07522801220330472,0.17638935774542702,0.1305485578622313,0.22115580769475368
A1,9-10yr,TD,50,60.0,50.25,78.5,0.5898242523404881,0.5698545359820189,0.6092584495956536,28.463131935618907,26.01833621750576,30.95800183977105,8.437408199643492,8.069668194550548,8.853854862702656,0.07778606454169752,0.07261562840855555,0.08190613167528968,0.08311303436713635,0.06420312181617505,0.10306944103191151
A1,9-10yr,LI,10,64.5,47.5,80.75,0.5385894117976846,0.49550714108348926,0.5765098051879233,22.945293590580214,18.36420805823889,28.68554139897882,7.839736652236654,6.905993326118327,8.545727723665225,0.07669020993000554,0.0639345994316059,0.09070582090698977,0.1295175215228995,0.08644260566751248,0.17732781703223197
A2,4-5yr,TD,45,68.0,55.0,92.0,0.5549150587546298,0.5297463289779826,0.5788681866888775,25.96480021359443,22.681535197820242,29.372379806095996,6.31927244650774,5.947417524124388,6.713240330022193,0.0753163115125088,0.06969482992448656,0.08108599188715553,0.10735124302230245,0.0773126052175094,0.13900324927426583
A2,4-5yr,LI,11,44.0,37.0,55.0,0.5549522586751372,0.5275444240295052,0.5835640508764045,16.167515641916594,13.298093224898265,19.22530315383179,4.410419126328217,3.9480545716909354,4.900947133674406,0.05418754001799628,0.04560894194516801,0.06146447795260484,0.21424124949087248,0.10468300815016812,0.3312268836108057
A2,5-6yr,TD,46,76.5,57.25,103.5,0.5548372119774639,0.525876198846424,0.5811091226920363,27.77986605394497,24.96646469581547,30.806059903477294,7.05591594375458,6.666959605672721,7.46573469202965,0.07992940365829133,0.0735098880982082,0.0857044233771032,0.11596343336086642,0.09188505245024285,0.14247060679199053
A2,5-6yr,LI,13,64.0,54.0,97.0,0.5581158112423499,0.5143865497510794,0.6082146013555508,22.624879731121897,17.977657306808723,28.25993814432958,4.9216459644799215,4.118623570944544,5.703099656139323,0.06449363576496941,0.056484847049862126,0.07289007594054284,0.18428796717656157,0.1214375676428578,0.25788095405851086
A2,6-7yr,TD,49,73.0,60.0,96.0,0.5600333257072168,0.5387573544185266,0.5821444735130126,27.16151086226603,25.298243929144128,29.20017380782797,6.998035084829803,6.638724109773781,7.37593438016232,0.08166988114850136,0.07621843220470513,0.08714809153767385,0.056173430760998976,0.040542133082488926,0.07087431752266733
A2,6-7yr,LI,11,78.0,52.0,99.0,0.5310520039164156,0.4763328380138529,0.5873301231900097,23.496917141845834,18.54534609737127,28.68863621953745,6.050135773317591,5.046657172373082,7.106179752066114,0.07690960231450647,0.06147997673557336,0.09135032974032323,0.13302575621428045,0.08192452945193959,0.188714122729625
A2,7-8yr,TD,50,78.0,67.0,107.75,0.5580729235743545,0.5357160460993488,0.5821411890277052,31.043508179506084,28.043532608711246,33.901934823434225,7.6502786879786875,7.225165037462537,8.007886032023531,0.08509628172732286,0.07972852825920632,0.08936658588794762,0.06470007120244341,0.04670838872937649,0.08531487235856071
A2,7-8yr,LI,13,63.0,55.0,81.0,0.566385174340707,0.5245890195302367,0.6083903104381827,27.299142381360873,22.872807938636882,32.67765520453807,6.4081706972836,5.5567764336917564,7.342281618844119,0.08012807398905109,0.06948993553428855,0.09022605979444868,0.137870261195629,0.10873299135220864,0.16746765335717928
A2,8-9yr,TD,45,95.0,80.0,116.0,0.5365160505756758,0.5141618763592561,0.5570344713202134,30.216234897102154,27.594078360057694,32.75745640424276,7.73968496447966,7.282927178408056,8.189364772948093,0.08989006125317485,0.08464278966172821,0.09550544355107206,0.04857836749558176,0.03405929313736881,0.06589033408975307
A2,8-9yr,LI,17,73.0,64.0,89.0,0.5777861078580903,0.5333087564498498,0.6213887263893831,30.5771932585278,25.40106644751905,35.591400380480664,6.539289523113053,5.992422499885735,7.117664146855323,0.07377268299750397,0.06618084298467955,0.08150641962241739,0.12242343833574817,0.09329204951769174,0.14868523107102133
A2,9-10yr,TD,50,83.5,74.0,100.0,0.5611635527359397,0.5381099327132054,0.5832752686875728,33.14225522321148,30.373824791868003,36.172370823552406,8.221978286419462,7.86129634728017,8.568965369760956,0.08903178239485135,0.08285646749611922,0.0942345974219091,0.04673943568034006,0.035420281036641396,0.058856046113059786
A2,9-10yr,LI,10,73.5,63.5,89.75,0.548283966382761,0.5071654348357328,0.5958421211156395,29.05373983195218,22.048402794305495,37.5024278189887,7.806046176046175,7.223224747474747,8.337847943722945,0.07940977689179282,0.06757049851149054,0.08931762440811594,0.06097994313585712,0.0305791403120388,0.09874042693559613
A3,4-5yr,TD,45,111.0,97.0,147.0,0.4478910050789353,0.4257007082487538,0.4733911339521046,23.695819166148627,21.504989543669833,26.1091810127645,6.38356319154706,6.0319343293200784,6.726087867331986,0.0749174367709786,0.06893607798602924,0.08153804255006891,0.08266118039580854,0.05291217083712867,0.1164110245752634
A3,4-5yr,LI,11,72.0,58.0,107.0,0.42234618585551575,0.36918494895161036,0.4814799245369941,14.901031801457854,11.583750300514863,17.859212953605713,4.323818992184095,3.58213827503142,5.065740614672066,0.04987713515208911,0.04185939665364637,0.05682177674987923,0.15855993490203152,0.07681077405352432,0.24418027653844068
A3,5-6yr,TD,46,119.0,105.75,155.5,0.4439095565182218,0.4221205888816432,0.46689600925627767,25.04761603437851,22.470939896502202,27.653125771836507,7.0322021965245245,6.664212833274629,7.425264383098299,0.079606262585009,0.07206492320555713,0.08615754140312253,0.08207431390266123,0.06199525112717536,0.10320368644519712
A3,5-6yr,LI,13,118.0,90.0,128.0,0.45516965636460033,0.4179850009273456,0.4929102091169328,21.905109777859114,17.3600346277451,26.64276460625028,5.395119630453043,4.739356667396142,5.9922610477052,0.06311697498688786,0.052321272967215234,0.07402788598926353,0.14786021124494203,0.08149706756039524,0.22572442101764792
A3,6-7yr,TD,49,118.0,100.0,157.0,0.46410624590114113,0.4418513148069282,0.4862781515649662,27.24234041358973,24.977799047983027,30.180372264197025,6.899300515443191,6.595584629772974,7.211669481540775,0.09108951817483568,0.08594794287752143,0.09622098672280653,0.0445494284822785,0.029558565104306725,0.06433373689037769
A3,6-7yr,LI,11,119.0,103.5,150.0,0.41765681309605773,0.3529178883195133,0.46199694255177726,23.33442715789337,20.4120682547422,26.635828781053547,6.764733880864839,5.893740378382759,7.613371925558039,0.0771146730666855,0.060751109232753,0.0917604420320138,0.12036142597017575,0.08918595129900327,0.15337201228759326
A3,7-8yr,TD,50,147.5,106.25,182.25,0.4447802620804804,0.4259650316859954,0.4657720747889149,28.016062888428454,25.866581293264517,30.25781845819402,7.728636148432377,7.4142393144782535,8.064426990166933,0.0928364417640646,0.0856601355882979,0.09930331696960741,0.04498753179135808,0.034631166242366715,0.05798938881544755
A3,7-8yr,LI,13,121.0,90.0,159.0,0.4311974062100987,0.3973140597673429,0.46405354283558653,24.27900480081218,19.581216392392854,29.181027529743147,6.7138492149836475,6.037632226483263,7.262387391332725,0.08051368002680757,0.06998383770381653,0.08974550621052661,0.09482222854768001,0.07212830510239235,0.12506217644343173
A3,8-9yr,TD,45,142.0,118.0,193.0,0.44723200544147257,0.43049780775306845,0.4635682038347811,28.862405763009672,26.978236351786254,30.939244870373685,7.936204701478333,7.531169429539368,8.348051093046845,0.09542822203386134,0.0880742029902458,0.10225267697265736,0.033052976860023876,0.022686924026415502,0.045868336989524194
A3,8-9yr,LI,17,128.0,108.0,151.0,0.46105131420237394,0.4381630065081346,0.4860279843547558,26.349623577076073,22.153298536709013,31.366155304261262,6.881914512315247,6.408241863118453,7.390275898465579,0.07953762762058536,0.07166288177764274,0.08739402663483904,0.0919459212976056,0.06453630073108853,0.11939657003249583
A3,9-10yr,TD,50,147.5,119.25,189.75,0.4580209948979837,0.43963031063676405,0.4792327584335076,32.19266247416019,29.894490648159575,34.62119710164182,8.067221671827424,7.71634555759851,8.368709380247186,0.09557620957204158,0.08692753093043507,0.10240451409803852,0.027935649904917884,0.02042667440192096,0.03582229364422891
A3,9-10yr,LI,10,147.0,112.25,186.75,0.43977270011135816,0.4008218874413869,0.4871126502469168,26.62146222185196,22.918670686454703,29.954717085622566,7.3616942078232395,6.704358124253285,7.996108104858105,0.07953235111800583,0.06408294919998628,0.09570595780508967,0.046465471790717396,0.021382727976540776,0.07392441525671814
B1,4-5yr,TD,45,48.0,35.0,63.0,0.6235538997201356,0.5960908924648658,0.6484020861453182,28.014619407050894,25.051150489789126,30.902739869012674,6.335537117203784,5.930073075073075,6.732978156103156,0.0768296711466413,0.07177265530837558,0.08283295630885394,0.14451026471853493,0.10549530457572777,0.18727355942059934
B1,4-5yr,LI,11,33.0,21.5,56.0,0.6095740064248747,0.50672917911565,0.7018565327656169,21.014054004827134,15.329675534693566,27.905097507223374,4.085146827716487,3.3381183685595452,4.827196194328545,0.06248924604419312,0.052227550172766334,0.07533038402948997,0.22255741376845686,0.12077306127263915,0.32919655375909723
B1,5-6yr,TD,46,56.0,43.25,64.75,0.6095183009164795,0.5807311868699543,0.6384086528746196,31.014357105655375,27.520421529951452,35.81390871218066,6.750507712793184,6.371302804627677,7.194710742910472,0.07490530487408888,0.06894822815401146,0.0806053113870858,0.1658212184298139,0.13204457434119019,0.20125138018315328
B1,5-6yr,LI,13,57.0,53.0,62.0,0.5670077221268309,0.5177482831169455,0.6147988059903532,20.733333804483102,17.51353571739192,23.769067413634442,6.431318681318682,5.291204212454213,7.614228479853479,0.0625341281761575,0.049940039205454076,0.07433096426117732,0.19398653922730275,0.13052156990623295,0.2573583852335124
