doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,n_turns_child,n_turns_adult,adult_turn_frac,adult_token_frac,child_tokens,adult_tokens,canonical_sim,group_canonical_mean
31321319,miami_mono,grade2,250,41,6.097560975609756,0.432,24.048223350253807,41,41,0,0.0,0.0,312,0,0.1043441104637976,0.1020490126037401
31321321,miami_mono,grade2,312,42,7.428571428571429,0.4198717948717949,28.402556887856342,42,42,0,0.0,0.0,370,0,0.09060883743501845,0.1020490126037401
31321347,miami_mono,grade2,554,52,10.653846153846153,0.27617328519855594,22.99364055538286,52,52,0,0.0,0.0,650,0,0.13543700963120964,0.1020490126037401
31321413,miami_mono,grade2,54,6,9.0,0.5555555555555556,27.0,6,6,0,0.0,0.0,62,0,0.0172676660483252,0.1020490126037401
31321414,miami_mono,grade2,297,33,9.0,0.3434343434343434,24.752337496753476,33,33,0,0.0,0.0,356,0,0.13065499638104475,0.1020490126037401
31321445,miami_mono,grade2,361,40,9.025,0.3157894736842105,22.983838488945928,40,40,0,0.0,0.0,429,0,0.08291553049629645,0.1020490126037401
31322043,miami_mono,grade2,336,37,9.08108108108108,0.3630952380952381,29.05216739456359,37,37,0,0.0,0.0,405,0,0.0683601307757408,0.1020490126037401
31322047,miami_mono,grade2,187,25,7.48,0.44919786096256686,39.148540379288306,25,25,0,0.0,0.0,219,0,0.06278597549596412,0.1020490126037401
31322238,miami_mono,grade2,331,32,10.34375,0.3323262839879154,26.639372944222828,32,32,0,0.0,0.0,381,0,0.12698039851698517,0.1020490126037401
31322239,miami_mono,grade2,537,72,7.458333333333333,0.3258845437616387,35.99803318992009,72,72,0,0.0,0.0,641,0,0.12684885231282161,0.1020490126037401
31322240,miami_mono,grade2,371,40,9.275,0.3018867924528302,22.28333333333333,40,40,0,0.0,0.0,426,0,0.12609377050204237,0.1020490126037401
31322241,miami_mono,grade2,347,55,6.3090909090909095,0.3256484149855908,23.410195035460994,55,55,0,0.0,0.0,411,0,0.10242048281904122,0.1020490126037401
31322242,miami_mono,grade2,312,36,8.666666666666666,0.36538461538461536,22.22316302811476,36,36,0,0.0,0.0,371,0,0.11104778500003623,0.1020490126037401
31322243,miami_mono,grade2,214,29,7.379310344827586,0.411214953271028,24.112773675346546,29,29,0,0.0,0.0,252,0,0.10610079451023073,0.1020490126037401
31322262,miami_mono,grade2,405,45,9.0,0.3234567901234568,24.49352849425157,45,45,0,0.0,0.0,467,0,0.11607406790204487,0.1020490126037401
31322273,miami_mono,grade2,314,45,6.977777777777778,0.32802547770700635,23.84591848742792,45,45,0,0.0,0.0,367,0,0.14656307232753493,0.1020490126037401
31322317,miami_mono,grade2,608,70,8.685714285714285,0.2138157894736842,14.344734702793037,70,70,0,0.0,0.0,704,0,0.15262660511187015,0.1020490126037401
