bin,share_mean,ci_lo,ci_hi
lag 1-2,0.10642436805698285,0.10245210985584573,0.1105812532241681
lag 3-4,0.1515408518410159,0.147771344985567,0.15518340849997395
lag 5-8,0.20787211423213725,0.20313097255228157,0.21232918476074084
lag 9-12,0.119085928401958,0.11563082107207802,0.12263649801274927
lag 13-16,0.07762153037416926,0.07497120120810806,0.08031419033807144
lag 17-24,0.09212919815530583,0.08903769300027785,0.09537803746816234
lag 25-32,0.05857668830683704,0.05599082272165638,0.061296874966849796
lag 33-48,0.07079441565220286,0.06726824320734796,0.0744828899606031
lag 49-64,0.04367852745705008,0.04107848543373899,0.0464649812706925
lag 65-96,0.04705570996090911,0.04431347997560058,0.04988916635042535
lag 97-128,0.025220667561431855,0.023131795122895385,0.02733369055465009
