bin,share_mean,ci_lo,ci_hi
lag 1-2,0.10656420990885422,0.10258476174008828,0.11061798058045062
lag 3-4,0.15171359258429998,0.14805260105611062,0.15548872306607173
lag 5-8,0.20811713777090132,0.20355134178438794,0.21290014489980855
lag 9-12,0.11922740519639378,0.11599006051101945,0.12255185850145685
lag 13-16,0.07765191894765815,0.07496818410213217,0.08031932668147379
lag 17-24,0.09223072953738246,0.08890031561614724,0.09501984068703614
lag 25-32,0.05844141064007504,0.055682720896283136,0.061086897060919125
lag 33-48,0.07090597738265118,0.06745684986892767,0.07450267942315827
lag 49-64,0.043416961505119006,0.04063044745248544,0.04617864064913275
lag 65-96,0.04678898153431209,0.043956761410617995,0.04955054832545565
lag 97-128,0.024941674992352808,0.022919850288865912,0.027168748779788286
