bin,share_mean,ci_lo,ci_hi
lag 1-2,0.11318922116109348,0.10682393649517608,0.11941082829456866
lag 3-4,0.15227768118476673,0.1464588399464038,0.15828026326811262
lag 5-8,0.1742635341480881,0.16863229404061555,0.17962353029594288
lag 9-12,0.09988544954641962,0.09570344552453794,0.10418121768013203
lag 13-16,0.06762137782958971,0.06451645389882062,0.07100953946494531
lag 17-24,0.09415908965810975,0.09040896739092665,0.09821142325475214
lag 25-32,0.05955418794362113,0.05648919386068234,0.06250485956818157
lag 33-48,0.0788235835854527,0.07489078262137912,0.08282464506319347
lag 49-64,0.04997678722148438,0.04686634843987248,0.05319480485459189
lag 65-96,0.068260913370844,0.06384515389292479,0.07308399207837558
lag 97-128,0.04198817435053048,0.03823618285725868,0.046442921452115385
