score_bin,k,gain_mean,gain_sem,gain_ci95,nll_mean,n
low,0,0.0,0.0,0.0,3.896391437530517,50
low,2,0.13484538228064777,0.0069228602080312375,0.013568806007741225,3.76154605524987,50
low,4,0.32268775887787343,0.009140432489543672,0.017915247679505596,3.573703678652645,50
low,8,0.5314807864874601,0.01207453736607056,0.023666093237498298,3.3649106510430573,50
low,12,0.6570681034699082,0.014579288796779218,0.028575406041687266,3.2393233340606087,50
low,16,0.7432695591822267,0.01594484881372542,0.031251903674901826,3.153121878348291,50
low,24,0.8576329587325453,0.02088681718712906,0.04093816168677296,3.038758478797972,50
low,32,0.9307341984249652,0.022329030878155288,0.04376490052118436,2.965657239105553,50
low,48,1.025477354429662,0.0236059211757145,0.04626760550440042,2.8709140831008555,50
low,64,1.0885630881115795,0.02483624121323087,0.0486790327779325,2.8078283494189384,50
low,96,1.1710360071472823,0.027249962391111052,0.05340992628657766,2.7253554303832352,50
low,128,1.2224471488520505,0.028557511849125215,0.05597272322428542,2.6739442886784675,50
mid,0,0.0,0.0,0.0,3.6717412724033482,50
mid,2,0.1405502881579582,0.006244149011793507,0.012238532063115273,3.53119098424539,50
mid,4,0.31922196442489664,0.008020101652676324,0.015719399239245594,3.3525193079784517,50
mid,8,0.5394063952290002,0.008657053783025264,0.016967825414729517,3.1323348771743476,50
mid,12,0.6709259920105818,0.010198387596436872,0.01998883968901627,3.0008152803927657,50
mid,16,0.7582101268753891,0.01191936657992313,0.02336195849664933,2.913531145527959,50
mid,24,0.888615788488138,0.01566447009900697,0.03070236139405366,2.7831254839152098,50
mid,32,0.9662829336435084,0.018359603004668094,0.03598482188914946,2.70545833875984,50
mid,48,1.074601589126933,0.022141158646643795,0.04339667094742184,2.5971396832764153,50
mid,64,1.1431139220655444,0.024503766351000933,0.04802738204796183,2.5286273503378034,50
mid,96,1.2384926800303644,0.028548351209707525,0.055954768371026746,2.433248592372984,50
mid,128,1.3016375630036476,0.03133376164184614,0.061414172818018434,2.3701037093997,50
high,0,0.0,0.0,0.0,3.4989368404573016,50
high,2,0.14119296555353272,0.006778669297213216,0.013286191822537903,3.3577438749037687,50
high,4,0.3325503179034399,0.009034728944404435,0.017708068731032693,3.1663865225538617,50
high,8,0.5447470984993683,0.010671993088103262,0.020917106452682393,2.954189741957933,50
high,12,0.660712311351131,0.011833808452748305,0.02319426456738668,2.8382245291061703,50
high,16,0.7397139218760835,0.013147408356817722,0.025768920379362736,2.759222918581218,50
high,24,0.8516413877545104,0.01493039935284048,0.029263582731567338,2.64729545270279,50
high,32,0.9253811257867323,0.016384231936504897,0.0321130945955496,2.5735557146705683,50
high,48,1.0196062013892637,0.018474667658657472,0.03621034861096865,2.479330639068037,50
high,64,1.0774456827802765,0.02032750121048921,0.03984190237255885,2.4214911576770244,50
high,96,1.1595777854075835,0.022853140895834456,0.04479215615583553,2.3393590550497176,50
high,128,1.2056780111989187,0.024482339533898247,0.04798538548644057,2.2932588292583826,50
