bin,share_mean,share_std,cumulative,raw_nll_mean,raw_nll_std
lag   1-  2,0.10656420990885422,0.038680406872554945,0.10656420990885422,0.1838927001984235,0.06808275253946362
lag   3-  4,0.15171359258429998,0.036076560636747926,0.2582778024931542,0.2604224867397739,0.05876048478385853
lag   5-  8,0.20811713777090132,0.043508825506878866,0.4663949402640555,0.3578358362966881,0.07711468423249516
lag   9- 12,0.11922740519639378,0.03247945492087461,0.5856223454604492,0.20516671059527533,0.05700191265842601
lag  13- 16,0.07765191894765815,0.026248615542861516,0.6632742644081073,0.13457307120856127,0.04836640880538302
lag  17- 24,0.09223072953738246,0.029973445358906243,0.7555049939454898,0.16025515964194653,0.05726576243819089
lag  25- 32,0.05844141064007504,0.02668866814451165,0.8139464045855648,0.10194830322676388,0.04801584646911923
lag  33- 48,0.07090597738265118,0.03337272333632495,0.8848523819682159,0.12309244103249044,0.05989719159576261
lag  49- 64,0.043416961505119006,0.02658694354952446,0.9282693434733349,0.07571370164342117,0.04649187947556991
lag  65- 96,0.04678898153431209,0.026698257274543735,0.975058325007647,0.08207988018972957,0.04942960684253579
lag  97-128,0.024941674992352808,0.019978762595056532,0.9999999999999998,0.04402680686317231,0.03753764677052458
