lag_range,share_mean,share_std,share_pct,cumulative_pct,raw_nats_mean
1-2,0.10656420990885422,0.038680406872554945,10.7%,10.7%,0.1838927001984235
3-4,0.15171359258429998,0.036076560636747926,15.2%,25.8%,0.2604224867397739
5-8,0.20811713777090132,0.043508825506878866,20.8%,46.6%,0.3578358362966881
9-12,0.11922740519639378,0.03247945492087461,11.9%,58.6%,0.20516671059527533
13-16,0.07765191894765815,0.026248615542861516,7.8%,66.3%,0.13457307120856127
17-24,0.09223072953738246,0.029973445358906243,9.2%,75.6%,0.16025515964194653
25-32,0.05844141064007504,0.02668866814451165,5.8%,81.4%,0.10194830322676388
33-48,0.07090597738265118,0.03337272333632495,7.1%,88.5%,0.12309244103249044
49-64,0.043416961505119006,0.02658694354952446,4.3%,92.8%,0.07571370164342117
65-96,0.04678898153431209,0.026698257274543735,4.7%,97.5%,0.08207988018972957
97-128,0.024941674992352808,0.019978762595056532,2.5%,100.0%,0.04402680686317231
