bin,share_full,share_early_mid,share_late
lag 1-2,0.10493971890224096,0.10493971890224096,0.10493971890224096
lag 3-4,0.14914283717987906,0.14914283717987906,0.14914283717987906
lag 5-8,0.2038694541400337,0.20386945414003368,0.20386945414003368
lag 9-12,0.11869856626469387,0.11869856626469387,0.11869856626469387
lag 13-16,0.07863084711493175,0.07863084711493173,0.07863084711493175
lag 17-24,0.09407234180653684,0.09407234180653684,0.09407234180653684
lag 25-32,0.057704428816782775,0.057704428816782775,0.057704428816782775
lag 33-48,0.07059913511209902,0.07059913511209902,0.07059913511209902
lag 49-64,0.044112550118262005,0.044112550118262,0.044112550118262
lag 65-96,0.050466314561792,0.05046631456179201,0.05046631456179199
lag 97-128,0.027763805982748,0.027763805982748,0.027763805982748007
