bin,share_strong_closure,share_weak_closure,diff,p
lag 1-2,0.10508143674734169,0.10479905081895582,0.0002823859283858643,0.9488562819412444
lag 3-4,0.15135272952365222,0.14694931440902276,0.0044034151146294664,0.26681138597777715
lag 5-8,0.2003454526170692,0.20736735194801328,-0.007021899330944076,0.17714362392594685
lag 9-12,0.11757170670112081,0.11981707872038862,-0.002245372019267805,0.5511648074007475
lag 13-16,0.07755475644591832,0.07969896674195245,-0.0021442102960341353,0.48318521293387323
lag 17-24,0.09453824514634394,0.09360988960258014,0.0009283555437638036,0.7973950467216764
lag 25-32,0.05707921611700605,0.05832501031137597,-0.0012457941943699175,0.6784081743999991
lag 33-48,0.07182998852733279,0.06937739912957068,0.002452589397762106,0.4815751664754552
lag 49-64,0.04333750223899514,0.044881856902126885,-0.0015443546631317417,0.5672317841663844
lag 65-96,0.05101620638366386,0.04992049601267474,0.001095710370989121,0.7131486433837233
lag 97-128,0.030292759551555973,0.02525358540333861,0.005039174148217362,0.027770248421327238
