check,model,pos_coef,pos_se,pos_p,r2,n,baseline_coef,baseline_p,interaction_coef,interaction_p
1a_baseline,I_256_dm ~ pos_dm,-1.8460882695589869,0.3715399171082824,7.20949822306763e-07,0.010098815630576463,2422,,,,
1b_with_baseline,I_256_dm ~ pos_dm + baseline_dm,-1.8460882695589875,0.3715399171082825,7.209498223067631e-07,0.010098815630576463,2422,2.1726127384895348e-16,7.209498223067722e-07,,
2a_dist_to_end,I_256_dm ~ dist_to_end_dm,1.8460882695589858,0.37153991710828227,7.209498223067675e-07,0.010098815630576463,2422,,,,
3a_excl_final2,I_256_dm ~ pos_dm (excl final 2),-1.723822592812451,0.5200204671369509,0.0009341085138529616,0.005798793586969442,1886,,,,
3b_excl_final3,I_256_dm ~ pos_dm (excl final 3),-1.170734659328329,0.7135904749680718,0.10107065209590779,0.0016700785813473784,1611,,,,
4_task_boy_dog_frog,I_256_dm ~ pos_dm (task=boy_dog_frog),-3.453574956188217,0.818538128486832,3.266527571009342e-05,0.05691030680885856,297,,,,
4_task_frog_on_his_own,I_256_dm ~ pos_dm (task=frog_on_his_own),-3.2584828387207696,0.9994357652092352,0.001243181481059983,0.034779676978816676,297,,,,
4_task_frog_where_are_you,I_256_dm ~ pos_dm (task=frog_where_are_you),-0.2704077873761276,0.915774294591528,0.7679619326528059,0.0002563723704036569,342,,,,
4_task_one_frog_too_many,I_256_dm ~ pos_dm (task=one_frog_too_many),-1.4676552204430053,0.728245389973398,0.04432844209483228,0.006918452392885466,585,,,,
4_task_unknown,I_256_dm ~ pos_dm (task=unknown),-1.6887175648508206,0.6864993039367003,0.01408492326659257,0.006685913315070291,901,,,,
5a_age_interaction,I_256_dm ~ pos_dm * age_months + baseline_dm,0.4646966659910732,1.8549320689462163,0.802206905537113,0.010760260992974113,2422,,,-0.026249017823527197,0.20366479533472884
