k,5yr_mean,5yr_std,6yr_mean,6yr_std,7yr_mean,7yr_std,8yr_mean,8yr_std,9yr_mean,9yr_std,10+yr_mean,10+yr_std
2,0.10704267316157422,0.03725716110474743,0.1105565294725915,0.04702922083013915,0.10702323736956845,0.03628714099229922,0.10152251990417976,0.031146349433829976,0.10347406971787038,0.042939152449746,0.10089289391754258,0.030136851523313097
4,0.2657998884401916,0.04826912327920253,0.26334659180137027,0.051878995084013016,0.25465837096185595,0.049047872376696895,0.24192942682464053,0.04498928654694103,0.26674860848828646,0.0558366100487497,0.25105476874277266,0.05261563875883246
8,0.47935095221211405,0.05565115120590954,0.47089864135521736,0.06547309057894057,0.4608827179166967,0.0597442187948032,0.4532836302622726,0.053945906213994387,0.45683798464324743,0.050230590639066854,0.45508194759609016,0.08095003486266425
12,0.5953081348065258,0.058768523870665765,0.5932102135978672,0.06596991488988282,0.5808756735668339,0.06310975666899327,0.5695593764580963,0.06370629262943757,0.5815874132522916,0.056574671072273916,0.574144668639457,0.0852147651949939
16,0.6701961445472112,0.06552370520612336,0.668371340708798,0.0582159070952682,0.660911830783872,0.06904654805175683,0.6497076790808068,0.06939382333893233,0.6707432986957376,0.04584523802218292,0.6491448274780196,0.08203386240508284
24,0.7581208126415213,0.07058066132443656,0.7592255784009696,0.052695022429362436,0.7523859154409209,0.06452809288472956,0.7510577691075397,0.06101042803152078,0.7649129709709939,0.0435098175413905,0.7458308972389712,0.0652179162396039
32,0.8190172774639591,0.06396625461893407,0.8156119687983656,0.0543688359320944,0.809701021558417,0.06446889251530584,0.8077664853693567,0.058995239380650016,0.8202002258663064,0.04206087816915797,0.8121395920375312,0.05896975859345531
48,0.8908195738814488,0.05212889638016067,0.8847246193683763,0.045878839496412346,0.8821563952513971,0.05310564001458981,0.8759846034522492,0.03937186771443396,0.8931409128883995,0.03177269710751619,0.8842214416496131,0.04780757491454886
64,0.9304969849749866,0.040468206051903155,0.9289393107200519,0.038176268771727626,0.9277306343191931,0.03961184097295901,0.9222336089009605,0.03351904076181012,0.9317521936705169,0.022282397112436878,0.9286999877500283,0.03971478643622105
96,0.9781117708004138,0.0210392798582401,0.9748521026157979,0.01973036806391368,0.9756539294756622,0.020303962751282545,0.9716069740390427,0.016167548976518554,0.9739217883064446,0.01474622104343814,0.9700054866936373,0.024811798455343984
128,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
