group1,group2,l2_distance,ci_low,ci_high
5yr,6yr,0.0038204650193694877,0.0034194642865546217,0.016034636980170755
5yr,7yr,0.00938146092933721,0.004312497440182891,0.022149266643590414
5yr,8yr,0.01615181131530339,0.007276733453357461,0.030810663469103536
5yr,9yr,0.008426576924477649,0.006502599447666167,0.023980568341248478
5yr,10+yr,0.01363849546043788,0.005192348710248563,0.03543546527326243
6yr,7yr,0.006650311746730663,0.0031092278736832755,0.01977213478798124
6yr,8yr,0.01354601973265539,0.005385974830530103,0.02852725445778544
6yr,9yr,0.0069619943749262125,0.005903453481015634,0.02230404731264822
6yr,10+yr,0.011453746573571087,0.005193436068941682,0.033735215383666486
7yr,8yr,0.007347319820654946,0.004119487959800056,0.0224216669443647
7yr,9yr,0.00785833621135071,0.0057408143440938735,0.02427984515168754
7yr,10+yr,0.005672971390805544,0.004886380014733483,0.028535766385196268
8yr,9yr,0.013336450454231126,0.007023523209835306,0.03161057984655877
8yr,10+yr,0.004925928778529216,0.005209749461184172,0.028083462775675555
9yr,10+yr,0.010918045317124096,0.007004144392735493,0.03512076626320675
