metric,contrast,group1,group2,n1,n2,mean1,mean2,cohens_d,ci_low,ci_high,interpretation
log_slope,5yr_vs_10+yr,10+yr,5yr,24,86,0.44031846837716726,0.4052220120753327,0.618114981009958,0.09440206569149433,1.1772377582016207,medium
log_slope,5yr_vs_6yr,6yr,5yr,84,86,0.40087730052709397,0.4052220120753327,-0.08403384665870486,-0.3790027238253107,0.22490355676251544,negligible
log_slope,6yr_vs_7yr,7yr,6yr,85,84,0.42789366479484403,0.40087730052709397,0.4935676623554895,0.20584385580856124,0.786402971553536,small
log_slope,7yr_vs_8yr,8yr,7yr,45,85,0.4364177664621381,0.42789366479484403,0.15467958328420778,-0.17478687744402951,0.5102126036020987,negligible
log_slope,8yr_vs_9yr,9yr,8yr,17,45,0.4057625389771986,0.4364177664621381,-0.651734641625848,-1.2366618353433274,-0.12783586327886626,medium
log_slope,9yr_vs_10+yr,10+yr,9yr,24,17,0.44031846837716726,0.4057625389771986,0.5697127882298064,-0.0003982466613493346,1.22784992522739,medium
auc_log_k,5yr_vs_10+yr,10+yr,5yr,24,86,4.3932050728439735,4.210889761424616,0.3913271327987446,-0.047310950636633056,0.8589847217041663,small
auc_log_k,5yr_vs_6yr,6yr,5yr,84,86,4.1691693233594505,4.210889761424616,-0.0834389896920943,-0.38970998608935226,0.2175765984412886,negligible
auc_log_k,6yr_vs_7yr,7yr,6yr,85,84,4.342973808917712,4.1691693233594505,0.354413764676642,0.04959982369184228,0.6698742522463942,small
auc_log_k,7yr_vs_8yr,8yr,7yr,45,85,4.352917897968329,4.342973808917712,0.023011773179473696,-0.32946349386775503,0.3827394445266075,negligible
auc_log_k,8yr_vs_9yr,9yr,8yr,17,45,4.150713256423999,4.352917897968329,-0.5307032867556337,-1.0317184906547658,-0.05812634366433269,medium
auc_log_k,9yr_vs_10+yr,10+yr,9yr,24,17,4.3932050728439735,4.150713256423999,0.5981382322072739,0.047677810283720874,1.1913533965852199,medium
gain_128,5yr_vs_10+yr,10+yr,5yr,24,86,1.8069574348107782,1.691433511903008,0.59328660949036,0.10097323891123894,1.1321422454279695,medium
gain_128,5yr_vs_6yr,6yr,5yr,84,86,1.678528218355728,1.691433511903008,-0.06822035520459253,-0.36105551365119676,0.23992275325740084,negligible
gain_128,6yr_vs_7yr,7yr,6yr,85,84,1.771664462012205,1.678528218355728,0.45914054032032964,0.17327754375984883,0.7396162156078219,small
gain_128,7yr_vs_8yr,8yr,7yr,45,85,1.7925757103899376,1.771664462012205,0.10528628776193533,-0.22261610121832692,0.4532544639540261,negligible
gain_128,8yr_vs_9yr,9yr,8yr,17,45,1.6769060737868695,1.7925757103899376,-0.7303166046227536,-1.2764195815422976,-0.23735191181421714,medium
gain_128,9yr_vs_10+yr,10+yr,9yr,24,17,1.8069574348107782,1.6769060737868695,0.6838688457941846,0.12922991292052635,1.384567850713557,medium
