k,raw_mean,raw_std,raw_cv,norm_mean,norm_std,norm_cv
2,0.18430613170318003,0.0674494674232673,0.36596431599949597,0.10638282454712278,0.03719789450650697,0.34966071510942054
4,0.44473818427139844,0.08956262524508958,0.20138280996001592,0.25803511694974174,0.049992021942098536,0.1937411563707262
8,0.8038145059728571,0.11186535926470301,0.13916812701621042,0.4665929655396803,0.06123650741727867,0.1312418144719564
12,1.0097721389310845,0.1202018952923908,0.11903863323029791,0.5860755414574152,0.0644244610038618,0.10992518275656951
16,1.1454005305581527,0.13113502886254785,0.11448836050271939,0.6642418651313282,0.06481145354025633,0.09757206966688613
24,1.3066081474329134,0.14212046504528764,0.1087705333266986,0.756906649995694,0.059786031710418686,0.07898732520154078
32,1.408541863412554,0.15428505078833357,0.10953529660420491,0.8154272509517538,0.0576580153033484,0.0707089629835781
48,1.5299053039157162,0.16342118375444967,0.10681784247442068,0.8849990254477179,0.04727941656277241,0.05342312839141706
64,1.6047949543066349,0.17258636943753097,0.107544187482879,0.9276326808414417,0.037384763533397085,0.04030125749718728
96,1.6876033541430189,0.18257408687193982,0.10818542545778044,0.9748369491941057,0.019898299021667478,0.020411925335941907
128,1.7320209314813082,0.19259810690122545,0.1111984869238885,1.0,0.0,0.0
